timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
154518363,153507208,1200.0,0.63028544,0.04184267,1.3120666,0.0,255,190,6,4,0,0,1,1,1,1,35
154667389,154662418,1200.0,0.63028544,0.04184267,1.3120666,0.0,255,190,6,4,0,0,1,1,1,1,35
156517989,156509428,1200.0,0.63028544,0.04192788,1.2728107,0.0,255,190,6,4,0,0,1,1,1,1,35
157530342,156509428,1200.0,0.63028544,0.041610193,1.3909694,0.0,255,190,6,4,0,0,1,1,1,1,35
158499869,158490426,1200.0,0.63028544,0.041665506,1.2817104,0.0,255,190,6,4,0,0,1,1,1,1,35
159513797,159513031,1200.0,0.63028544,0.041703694,0.994931,0.0,255,190,6,4,0,0,1,1,1,1,35
160518415,159513031,1200.0,0.63028544,0.041889157,1.5070124,0.0,255,190,6,4,0,0,1,1,1,1,35
160574271,160570487,1200.0,0.63028544,0.041889157,1.5070124,0.0,255,190,6,4,0,0,1,1,1,1,35
161493867,161491883,1200.0,0.63028544,0.041495986,1.2172157,0.0,255,190,6,4,0,0,1,1,1,1,35
163497165,161491883,1200.0,0.63028544,0.020949092,1.3177977,0.0,255,190,6,4,0,0,1,1,1,1,35
163677162,163668406,1200.0,0.63028544,0.020949092,1.3177977,0.0,255,190,6,4,0,0,1,1,1,1,35
164592762,164592403,1200.0,0.63028544,0.041686803,1.446135,0.0,255,190,6,4,0,0,1,1,1,1,35
166524193,165515407,1200.0,0.63028544,0.041713387,1.2960945,0.0,255,190,6,4,0,0,1,1,1,1,35
166677104,166670411,1200.0,0.63028544,0.041713387,1.2960945,0.0,255,190,6,4,0,0,1,1,1,1,35
167596805,167595452,1200.0,0.63028544,0.041800402,1.2898409,0.0,255,190,6,4,0,0,1,1,1,1,35
169526141,168518294,1200.0,0.63028544,0.041941114,1.2222838,0.0,255,190,6,4,0,0,1,1,1,1,35
169678195,169670429,1200.0,0.63028544,0.041941114,1.2222838,0.0,255,190,6,4,0,0,1,1,1,1,35
170529503,170515422,1200.0,0.63028544,0.041756473,1.2785435,0.0,255,190,6,4,0,0,1,1,1,1,35
172525757,171518826,1200.0,0.63028544,0.04191487,1.3113366,0.0,255,190,6,4,0,0,1,1,1,1,35
173528038,171518826,1200.0,0.63028544,0.020799965,1.2440361,0.0,255,190,6,4,0,0,1,1,1,1,35
173598266,173595810,1200.0,0.63028544,0.020799965,1.2440361,0.0,255,190,6,4,0,0,1,1,1,1,35
175530306,174519410,1200.0,0.63028544,0.041672785,1.3107083,0.0,255,190,6,4,0,0,1,1,1,1,35
175680757,175674295,1200.0,0.63028544,0.041672785,1.3107083,0.0,255,190,6,4,0,0,1,1,1,1,35
177530481,177519422,1200.0,0.63028544,0.0416653,1.2003576,0.0,255,190,6,4,0,0,1,1,1,1,35
178532069,177519422,1200.0,0.63028544,0.041542366,1.1028509,0.0,255,190,6,4,0,0,1,1,1,1,35
178678469,178676503,1200.0,0.63028544,0.041542366,1.1028509,0.0,255,190,6,4,0,0,1,1,1,1,35
180528219,180521414,1200.0,0.63028544,0.041626442,1.3072685,0.0,255,190,6,4,0,0,1,1,1,1,35
181532246,180521414,1200.0,0.63028544,0.041946556,1.0276906,0.0,255,190,6,4,0,0,1,1,1,1,35
181676347,181675413,1200.0,0.63028544,0.041946556,1.0276906,0.0,255,190,6,4,0,0,1,1,1,1,35
183522152,183521989,1200.0,0.63028544,0.041670263,1.2739195,0.0,255,190,6,4,0,0,1,1,1,1,35
184523756,183521989,1200.0,0.63028544,0.041917004,1.0998223,0.0,255,190,6,4,0,0,1,1,1,1,35
184677878,184676414,1200.0,0.63028544,0.041917004,1.0998223,0.0,255,190,6,4,0,0,1,1,1,1,35
186537508,186524382,1200.0,0.63028544,0.04181305,1.3320444,0.0,255,190,6,4,0,0,1,1,1,1,35
187542776,186524382,1200.0,0.63028544,0.041549683,1.2870508,0.0,255,190,6,4,0,0,1,1,1,1,35
187687452,187678201,1200.0,0.63028544,0.041549683,1.2870508,0.0,255,190,6,4,0,0,1,1,1,1,35
189531224,189526856,1200.0,0.63028544,0.041845128,1.2125124,0.0,255,190,6,4,0,0,1,1,1,1,35
190540149,189526856,1200.0,0.63028544,0.041689742,1.3251382,0.0,255,190,6,4,0,0,1,1,1,1,35
190682469,190678410,1200.0,0.63028544,0.041689742,1.3251382,0.0,255,190,6,4,0,0,1,1,1,1,35
