timestamp,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var
156843896,-1.1167468,-1.3518403,0.26583776,0.26843628,0.0,0.0,1.0,0.10311119,0.090135954
157853336,-1.1198347,-1.3486075,0.27546337,0.28023872,0.0,0.0,1.0,-0.009581515,0.09027372
158861287,-1.0875449,-1.3265382,0.27960515,0.28778392,0.0,0.0,1.0,-0.084891394,0.09039828
159868499,-1.1481742,-1.3813457,0.2736507,0.28591782,0.0,0.0,1.0,0.08959643,0.091374375
160873477,-1.1523535,-1.3850899,0.2694193,0.28256595,0.0,0.0,1.0,0.0026485722,0.09108014
161885304,-1.1942496,-1.4347233,0.2629449,0.27001652,0.0,0.0,1.0,0.05975196,0.091056116
162885912,-1.2185534,-1.4851958,0.26914683,0.270314,0.0,0.0,1.0,0.14748241,0.090428434
163887709,-1.1647943,-1.4986383,0.27619314,0.27914,0.0,0.0,1.0,0.12231447,0.09057424
164893980,-1.0032843,-1.3715631,0.265203,0.27681836,0.0,0.0,1.0,0.13420068,0.09174753
165902847,-0.965331,-1.3365848,0.24751383,0.2600573,0.0,0.0,1.0,-0.007742787,0.09177146
166910839,-0.82737243,-1.1810132,0.23265372,0.23807184,0.0,0.0,1.0,0.059033275,0.091443844
167920270,-0.7925082,-1.1358778,0.23575504,0.23713969,0.0,0.0,1.0,0.09119476,0.09057365
168926401,-0.7584486,-1.0792512,0.24297474,0.23911239,0.0,0.0,1.0,-0.023501653,0.090369985
169934460,-0.7599679,-1.0958912,0.25261247,0.24712221,0.0,0.0,1.0,-0.037811343,0.09016471
170940281,-0.73136073,-1.0821325,0.24887744,0.24583565,0.0,0.0,1.0,-0.009485819,0.090440795
171951212,-0.7604589,-1.109139,0.24900904,0.24882627,0.0,0.0,1.0,0.1263284,0.09141139
172963145,-0.8496912,-1.1967664,0.23547947,0.2359399,0.0,0.0,1.0,0.072337635,0.09120918
173966236,-0.90364045,-1.2606398,0.23090142,0.22700334,0.0,0.0,1.0,0.08444211,0.0906465
174977008,-0.9147881,-1.2897706,0.2417402,0.2358192,0.0,0.0,1.0,0.15782727,0.09021538
175987391,-0.8630593,-1.2848682,0.24821448,0.24516834,0.0,0.0,1.0,0.057512637,0.09053086
176990329,-0.7892496,-1.239764,0.24577391,0.25176895,0.0,0.0,1.0,0.041488864,0.09079821
178000811,-0.7426436,-1.2086949,0.24311362,0.25719178,0.0,0.0,1.0,0.064628184,0.090776436
179011854,-0.6841921,-1.1660594,0.23786685,0.25898203,0.0,0.0,1.0,0.04916957,0.09122092
180021860,-0.6340107,-1.1265115,0.21316431,0.24388652,0.0,0.0,1.0,-0.054697055,0.092509836
181025927,-0.75002295,-1.2385464,0.1867891,0.21997531,0.0,0.0,1.0,-0.07338428,0.0933647
182034828,-0.89335644,-1.400639,0.16047698,0.18402323,0.0,0.0,1.0,-0.11562027,0.09257271
183039406,-0.9627252,-1.493235,0.16294898,0.17885539,0.0,0.0,1.0,-0.070182614,0.09085587
184039803,-0.9829051,-1.5282083,0.17157167,0.18090026,0.0,0.0,1.0,-0.090797015,0.090689525
185048147,-0.9653569,-1.4945892,0.18033394,0.1862103,0.0,0.0,1.0,0.038429465,0.09026674
186051212,-0.96998197,-1.4762514,0.19014145,0.19538075,0.0,0.0,1.0,0.07438286,0.090129554
187063164,-0.9844666,-1.482503,0.19843869,0.20573513,0.0,0.0,1.0,0.030019796,0.090652674
188071235,-1.0368412,-1.5252347,0.19905055,0.20991507,0.0,0.0,1.0,0.053580306,0.09115022
189072091,-1.1159297,-1.5979019,0.19225122,0.20594965,0.0,0.0,1.0,0.06396272,0.091470994
190075912,-1.2165313,-1.6965276,0.1660564,0.18082282,0.0,0.0,1.0,0.086301446,0.09208211
191087276,-1.2935963,-1.7742189,0.15375328,0.16846292,0.0,0.0,1.0,0.12157593,0.093125746
192094278,-1.364401,-1.8498168,0.14359541,0.15421294,0.0,0.0,1.0,0.0696531,0.09254746
193102755,-1.4057493,-1.9026024,0.14302965,0.14674471,0.0,0.0,1.0,0.0829871,0.091611296
194108991,-1.4267257,-1.9340533,0.14608742,0.1411242,0.0,0.0,1.0,-0.017726116,0.091306895
195117993,-1.4312934,-1.9410685,0.15185392,0.13873129,0.0,0.0,1.0,0.035917044,0.0917359
196124232,-1.4727579,-2.0021136,0.15485525,0.13087407,0.0,0.0,1.0,0.00020540692,0.091695994
197127755,-1.4759467,-2.0072415,0.15403076,0.119574174,0.0,0.0,1.0,-0.03427321,0.09194864
198142346,-1.4899317,-2.0268807,0.15744059,0.11724861,0.0,0.0,1.0,0.070046306,0.091657
199148265,-1.5340941,-2.0997014,0.16582134,0.118625686,0.0,0.0,1.0,0.0014359133,0.09091823
200156302,-1.5375478,-2.1169486,0.17522584,0.12349101,0.0,0.0,1.0,0.08730184,0.09065569
201166322,-1.5228859,-2.1345506,0.18562625,0.13461493,0.0,0.0,1.0,0.059784718,0.09057991
202172893,-1.3882086,-2.0745459,0.18511714,0.1421825,0.0,0.0,1.0,0.052321177,0.09091856
203174742,-1.4221159,-2.10133,0.17434028,0.14250945,0.0,0.0,1.0,-0.1308282,0.09201127
204177418,-1.487305,-2.1529222,0.16601862,0.14147098,0.0,0.0,1.0,-0.02499387,0.091862485
204782311,-1.4831102,-2.1489356,0.16109125,0.14084426,0.0,0.0,1.0,0.011768405,0.09173603
205790962,-1.502365,-2.167009,0.15894145,0.14005062,0.0,0.0,1.0,-0.008206921,0.09123474
206797365,-1.5097011,-2.1745205,0.16060431,0.14041112,0.0,0.0,1.0,0.047464248,0.091012165
207798708,-1.437417,-2.094379,0.16316445,0.1412433,0.0,0.0,1.0,0.059248038,0.09086362
208805367,-1.3265864,-1.9798723,0.15742593,0.13508427,0.0,0.0,1.0,0.1590746,0.09058226
209812201,-1.2845634,-1.9418699,0.15631454,0.1368731,0.0,0.0,1.0,0.026167085,0.091648616
210815897,-1.1881661,-1.8671361,0.15474635,0.13958006,0.0,0.0,1.0,0.0742098,0.09086863
211817160,-1.2127451,-1.8779359,0.16004781,0.14960441,0.0,0.0,1.0,-0.103934914,0.090540096
212830366,-1.2209611,-1.8692232,0.17145014,0.16053875,0.0,0.0,1.0,-0.082812466,0.09050754
213838448,-1.2091206,-1.8425635,0.18044421,0.16423637,0.0,0.0,1.0,-0.012145474,0.09132444
214848783,-1.2563117,-1.8969359,0.17120533,0.1480375,0.0,0.0,1.0,0.052194364,0.09265555
215852141,-1.5391195,-2.1575317,0.14781623,0.1290696,0.0,0.0,1.0,0.26782867,0.09338532
216864094,-1.7936412,-2.375522,0.13661352,0.1240696,0.0,0.0,1.0,0.20363474,0.09238069
217869894,-2.0435574,-2.5895662,0.12829715,0.121133246,0.0,0.0,1.0,0.20632629,0.09254178
218876015,-2.1841059,-2.710658,0.121668555,0.11875303,0.0,0.0,1.0,0.047834605,0.09179173
219883103,-2.2067432,-2.7298436,0.12277412,0.12335537,0.0,0.0,1.0,0.022219792,0.091319144
220884653,-2.257357,-2.7691872,0.12129551,0.12631617,0.0,0.0,1.0,-0.02241592,0.091215536
221889778,-2.3569944,-2.8502018,0.120814465,0.13010079,0.0,0.0,1.0,0.07958308,0.09122458
222897870,-2.4031384,-2.8880236,0.12399026,0.13548839,0.0,0.0,1.0,0.11008129,0.09061525
223899663,-2.4660473,-2.9347658,0.1305414,0.14355458,0.0,0.0,1.0,0.14469633,0.09031386
224907327,-2.5389245,-2.9744046,0.13777179,0.1527211,0.0,0.0,1.0,0.19497085,0.090255156
225912384,-2.5986805,-2.986417,0.14891787,0.16468337,0.0,0.0,1.0,0.30907974,0.09015174
226919233,-2.6059494,-2.9521303,0.14888601,0.16434066,0.0,0.0,1.0,0.2520244,0.09012105
227928467,-2.5732613,-2.869419,0.16072911,0.17487386,0.0,0.0,1.0,0.23771805,0.09015102
228937022,-2.5283308,-2.7999508,0.1695551,0.18230963,0.0,0.0,1.0,0.1396501,0.090419985
229940079,-2.428158,-2.6741316,0.17696558,0.1870445,0.0,0.0,1.0,0.19254942,0.09078091
230948078,-2.281378,-2.503323,0.17793301,0.18506451,0.0,0.0,1.0,0.13678181,0.09122328
231960206,-2.2217696,-2.4393358,0.16808607,0.17266944,0.0,0.0,1.0,-0.075209476,0.09220079
232969820,-2.1880708,-2.4053676,0.16194038,0.1658491,0.0,0.0,1.0,0.01789219,0.091865264
233980895,-2.1414976,-2.3613405,0.15402143,0.15869415,0.0,0.0,1.0,0.0893388,0.091574445
234982221,-2.076225,-2.3060353,0.14536868,0.15376511,0.0,0.0,1.0,0.08057886,0.091005415
235995276,-2.050214,-2.2884257,0.15152153,0.1629801,0.0,0.0,1.0,0.028447967,0.09030408
236998081,-2.047884,-2.2895665,0.16308911,0.17455526,0.0,0.0,1.0,0.028159404,0.09028979
238007225,-2.0521526,-2.3062563,0.17437012,0.182184,0.0,0.0,1.0,-0.018968366,0.09062066
239018145,-2.0556114,-2.3128593,0.18498458,0.18873274,0.0,0.0,1.0,-0.009784305,0.09044991
240019210,-2.070329,-2.314387,0.19361892,0.19911191,0.0,0.0,1.0,0.004944598,0.090844065
241021186,-2.1022525,-2.3420157,0.188124,0.19748743,0.0,0.0,1.0,-0.035249427,0.09120958
241516021,-2.0863426,-2.326089,0.18598057,0.19576392,0.0,0.0,1.0,0.018731438,0.0908303
241555074,-1.9810559,-2.209811,0.19110525,0.19961555,0.0,0.0,1.0,0.12974624,0.09038776
242558185,-1.9073795,-2.1167638,0.1879047,0.19450128,0.0,0.0,1.0,0.13867693,0.090341166
243429213,-1.8347384,-2.0160587,0.19722757,0.20130335,0.0,0.0,1.0,0.16292514,0.090264186
243454048,-1.8536421,-2.0104148,0.20642802,0.21054687,0.0,0.0,1.0,0.24951784,0.0902271
244461195,-1.9217625,-2.0658104,0.21297595,0.2189224,0.0,0.0,1.0,0.12809375,0.09068621
245468400,-2.1239016,-2.2420647,0.20751834,0.21684794,0.0,0.0,1.0,0.13965943,0.09125228
246471953,-2.5052397,-2.604174,0.17717685,0.19057383,0.0,0.0,1.0,0.111792065,0.09269562
247472046,-2.5030582,-2.6019034,0.15898263,0.17259128,0.0,0.0,1.0,-0.005778206,0.093550265
248482115,-2.4143035,-2.5033731,0.14154549,0.15034667,0.0,0.0,1.0,-0.0557956,0.09186556
249486407,-2.376849,-2.4430375,0.14997147,0.15494978,0.0,0.0,1.0,-0.077568434,0.090580165
250494767,-2.3869793,-2.4570267,0.15868579,0.16040781,0.0,0.0,1.0,0.04656979,0.09048931
251498197,-2.3265927,-2.3893423,0.16404587,0.16414969,0.0,0.0,1.0,-0.027986381,0.09097343
252500336,-2.2943082,-2.356567,0.16130714,0.16119616,0.0,0.0,1.0,-0.030395405,0.09188152
253507258,-2.3012834,-2.3637476,0.15022828,0.15016937,0.0,0.0,1.0,-0.015211453,0.0919643
254511930,-2.3932347,-2.4558547,0.13547695,0.13530374,0.0,0.0,1.0,0.04774537,0.09265044
