timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
121621785,4.637402,0.0,0,0,1,0,1,0,0
123631626,4.714746,0.0,0,0,1,0,1,0,0
124131889,4.714746,0.0,0,0,1,0,1,0,0
124633259,4.7179685,0.0,0,0,1,0,1,0,0
125133007,4.714746,0.0,0,0,1,0,1,0,0
125631815,4.676074,0.0,0,0,1,0,1,0,0
126131629,4.6696286,0.0,0,0,1,0,1,0,0
126644402,4.740527,0.0,0,0,1,0,1,0,0
127142113,4.637402,0.0,0,0,1,0,1,0,0
127641931,4.5858397,0.0,0,0,1,0,1,0,0
128141855,4.650293,0.0,0,0,1,0,1,0,0
128641942,4.666406,0.0,0,0,1,0,1,0,0
129141748,4.502051,0.0,0,0,1,0,1,0,0
129651769,4.6631837,0.0,0,0,1,0,1,0,0
130151792,4.688965,0.0,0,0,1,0,1,0,0
130652418,4.508496,0.0,0,0,1,0,1,0,0
131151617,4.740527,0.0,0,0,1,0,1,0,0
131651793,4.7469726,0.0,0,0,1,0,1,0,0
132162131,4.5858397,0.0,0,0,1,0,1,0,0
132661739,4.740527,0.0,0,0,1,0,1,0,0
133163766,4.714746,0.0,0,0,1,0,1,0,0
133661748,4.611621,0.0,0,0,1,0,1,0,0
134162410,4.5342774,0.0,0,0,1,0,1,0,0
134661617,4.650293,0.0,0,0,1,0,1,0,0
135171960,4.714746,0.0,0,0,1,0,1,0,0
135673993,4.650293,0.0,0,0,1,0,1,0,0
136172416,4.637402,0.0,0,0,1,0,1,0,0
136672504,4.740527,0.0,0,0,1,0,1,0,0
137173458,4.6631837,0.0,0,0,1,0,1,0,0
137675743,4.637402,0.0,0,0,1,0,1,0,0
138171620,4.4956055,0.0,0,0,1,0,1,0,0
138671947,4.637402,0.0,0,0,1,0,1,0,0
139172061,4.6180663,0.0,0,0,1,0,1,0,0
139671759,4.5117188,0.0,0,0,1,0,1,0,0
140175672,4.701855,0.0,0,0,1,0,1,0,0
140672365,4.676074,0.0,0,0,1,0,1,0,0
141181746,4.650293,0.0,0,0,1,0,1,0,0
141681634,4.6051755,0.0,0,0,1,0,1,0,0
142182757,4.676074,0.0,0,0,1,0,1,0,0
142692412,4.6051755,0.0,0,0,1,0,1,0,0
143191952,4.6696286,0.0,0,0,1,0,1,0,0
143692186,4.5213866,0.0,0,0,1,0,1,0,0
144191838,4.4972167,0.0,0,0,1,0,1,0,0
144691826,4.6954103,0.0,0,0,1,0,1,0,0
145191906,4.5342774,0.0,0,0,1,0,1,0,0
145701744,4.688965,0.0,0,0,1,0,1,0,0
146201646,4.714746,0.0,0,0,1,0,1,0,0
146701771,4.5407224,0.0,0,0,1,0,1,0,0
147205748,4.7211914,0.0,0,0,1,0,1,0,0
147701747,4.6954103,0.0,0,0,1,0,1,0,0
148202411,4.4827147,0.0,0,0,1,0,1,0,0
148701949,4.611621,0.0,0,0,1,0,1,0,0
149202117,4.676074,0.0,0,0,1,0,1,0,0
149701622,4.4956055,0.0,0,0,1,0,1,0,0
150211766,4.640625,0.0,0,0,1,0,1,0,0
150711768,4.637402,0.0,0,0,1,0,1,0,0
151211871,4.508496,0.0,0,0,1,0,1,0,0
151714315,4.637402,0.0,0,0,1,0,1,0,0
152211750,4.6631837,0.0,0,0,1,0,1,0,0
152714070,4.5342774,0.0,0,0,1,0,1,0,0
153211744,4.637402,0.0,0,0,1,0,1,0,0
153722069,4.6438475,0.0,0,0,1,0,1,0,0
154221739,4.637402,0.0,0,0,1,0,1,0,0
154722830,4.4827147,0.0,0,0,1,0,1,0,0
155226383,4.611621,0.0,0,0,1,0,1,0,0
155724841,4.611621,0.0,0,0,1,0,1,0,0
156221647,4.714746,0.0,0,0,1,0,1,0,0
156721741,4.740527,0.0,0,0,1,0,1,0,0
157221907,4.79209,0.0,0,0,1,0,1,0,0
157721969,4.714746,0.0,0,0,1,0,1,0,0
158235116,4.508496,0.0,0,0,1,0,1,0,0
158731745,4.611621,0.0,0,0,1,0,1,0,0
159234757,4.666406,0.0,0,0,1,0,1,0,0
159731741,4.650293,0.0,0,0,1,0,1,0,0
160242472,4.4827147,0.0,0,0,1,0,1,0,0
160743433,4.6631837,0.0,0,0,1,0,1,0,0
161241839,4.4714355,0.0,0,0,1,0,1,0,0
161741883,4.650293,0.0,0,0,1,0,1,0,0
162242888,4.611621,0.0,0,0,1,0,1,0,0
