timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
295386730,-0.99756926,0.023123296,0.06338071,0.017432075,4.752494,-1.091873,0.37266573,0.8330287,-48.50033,-19.026854,-1.8974268e-05,1.567406e-05,-1.9487966e-06,-0.00031696275,0.0017172009,5.361709e-05,0.23257746,0.036145713,0.37153447,-0.0025586407,-0.0056321137,0.0062344233,0.0,0.0,6.331286e-07,0.00056567846,0.011976911,6.901449e-08,5.061482e-06,4.8343422e-06,2.8803819e-05,0.015176022,0.016726186,0.011369587,0.060123652,0.061478455,0.060820345,1.41074765e-11,1.3762883e-11,2.0262975e-11,5.0000004e-08,5.0000004e-08,5.0000004e-08,7.9081383e-07,9.703424e-07,2.9570094e-06,1.2624436e-06,3.738376e-07,2.6365494e-06,0.0,0.0,0.00067797845,0.0628137,0.20935553,8389351,0.34871492,0.24661781,0.06358648,0.13599522,0.04358925,0.04358925,0.0,0.0,0.0,-0.001297,0,0,0,831,24,0,0,0,0,0,0,0
295585962,-0.99849427,0.011113099,0.05337697,0.006048298,4.8633256,-1.0164357,0.591765,1.8145754,-48.71376,-19.078625,-1.8802684e-05,1.568672e-05,-1.9510503e-06,-0.0003271233,0.0017065165,0.000106570056,0.23259103,0.036152232,0.37163717,-0.0025272856,-0.005627507,0.006319784,0.0,0.0,5.0524096e-07,0.0005201619,0.01154871,4.3457984e-08,4.9023565e-06,4.808899e-06,2.8590473e-05,0.015177642,0.016600382,0.011342672,0.060590163,0.06205581,0.06054558,1.4142995e-11,1.3789701e-11,2.0216452e-11,5.0000008e-08,5.0000008e-08,5.0000008e-08,7.9085754e-07,9.703152e-07,2.9393532e-06,1.2580674e-06,3.736319e-07,2.6217142e-06,0.0,0.0,0.0007549946,0.045136802,0.15171628,8389351,0.35020846,0.24606012,0.071131036,0.12187439,0.040810667,0.040810667,0.0,0.0,0.0,-0.001296,0,0,0,831,24,0,0,0,0,0,0,0
295791824,-0.9991423,0.005378197,0.0410564,-0.00046286755,4.933848,-0.9004415,0.76310194,2.9470565,-48.937595,-19.070726,-1.8705596e-05,1.5698994e-05,-1.9035147e-06,-0.00033298053,0.0017005651,0.00016028967,0.23260859,0.036159918,0.3717433,-0.0024936565,-0.0056224787,0.006405959,0.0,0.0,4.50413e-07,0.0005548571,0.012170882,3.1178544e-08,4.7589638e-06,4.768965e-06,2.8334574e-05,0.01545711,0.016716894,0.0113724135,0.061990384,0.06362308,0.061083816,1.41959534e-11,1.38360295e-11,2.0160294e-11,5e-08,5e-08,5.0000057e-08,7.907677e-07,9.701793e-07,2.917962e-06,1.2527802e-06,3.7339316e-07,2.6038817e-06,0.0,0.0,0.0005444314,0.036155846,0.12400165,8389351,0.3544199,0.2471514,0.08929171,0.0603537,0.044346333,0.044346333,0.0,0.0,0.0,-0.001224,0,0,0,831,24,0,0,0,0,0,0,0
295991743,-0.99947083,-0.005864162,0.03197754,0.0011037255,4.9780827,-0.7848801,0.79677445,3.9600492,-49.116173,-19.026596,-1.8569217e-05,1.5685919e-05,-1.8249867e-06,-0.0003446576,0.0016942655,0.00019959615,0.2326183,0.036168344,0.37183657,-0.0024734044,-0.0056174197,0.006485658,0.0,0.0,4.4683335e-07,0.000616214,0.011742559,2.8096395e-08,4.6341506e-06,4.765664e-06,2.8128869e-05,0.01563699,0.016672561,0.011352821,0.062661156,0.06435972,0.0609169,1.4245663e-11,1.3883002e-11,2.0131608e-11,5.0000057e-08,5.0000057e-08,5.0000057e-08,7.9086055e-07,9.703098e-07,2.9014482e-06,1.2485966e-06,3.7321345e-07,2.589754e-06,0.0,0.0,0.0006781276,0.020166678,0.06711131,8389351,0.35639986,0.24681349,0.07254209,0.09964616,0.03540824,0.03540824,0.0,0.0,0.0,-0.001301,0,0,0,831,24,0,0,0,0,0,0,0
296201825,-0.999652,-0.0078780595,0.024636813,0.0051805857,4.97028,-0.68505204,0.9035805,4.9994016,-49.270676,-18.915148,-1.8482302e-05,1.569435e-05,-1.7556124e-06,-0.00035136225,0.0016893165,0.00022047675,0.23262706,0.036176898,0.37193698,-0.0024568404,-0.0056122513,0.006571033,0.0,0.0,4.5116553e-07,0.0006347877,0.011959381,2.81168e-08,4.531243e-06,4.712832e-06,2.7944918e-05,0.01583854,0.016617361,0.011374246,0.0636959,0.06545197,0.061028015,1.4299614e-11,1.39357146e-11,2.0093417e-11,5.0000065e-08,5.0000065e-08,5.0000065e-08,7.9082747e-07,9.703532e-07,2.883328e-06,1.243971e-06,3.730232e-07,2.574381e-06,0.0,0.0,0.00058693363,0.006248831,0.013894254,8389351,0.35937148,0.24703848,0.09107274,0.07880082,0.03980503,0.03980503,0.0,0.0,0.0,-0.001217,0,0,0,831,24,0,0,0,0,0,0,0
296401885,-0.999076,-0.023559991,0.035915058,0.0014497306,4.988781,-0.5531109,0.9099624,6.034902,-49.40132,-18.725664,-1.8336483e-05,1.5694373e-05,-1.622234e-06,-0.0003643513,0.0016827105,0.00021639398,0.2326297,0.036189444,0.37205425,-0.0024494804,-0.005604989,0.006670585,0.0,0.0,4.0343997e-07,0.00057676574,0.011053444,3.1266932e-08,4.4964304e-06,4.7419235e-06,2.762119e-05,0.016084094,0.016610121,0.011361501,0.06456553,0.06632982,0.060942333,1.4358407e-11,1.3994644e-11,2.0059744e-11,5.000001e-08,5.000001e-08,5.000001e-08,7.907796e-07,9.704241e-07,2.8656975e-06,1.2393925e-06,3.7284326e-07,2.5594475e-06,0.0,0.0,0.0008228438,0.023230353,0.068661466,8389351,0.36179462,0.246865,0.06159682,0.10722132,0.048266843,0.048266843,0.0,0.0,0.0,-0.001311,0,0,0,831,24,0,0,0,0,0,0,0
296601802,-0.99942434,-0.008319967,0.031448834,-0.009627442,5.0290265,-0.3942068,0.88793504,7.1204147,-49.4984,-18.511036,-1.8277155e-05,1.571256e-05,-1.588676e-06,-0.0003656553,0.0016794567,0.00020311777,0.23264912,0.03619457,0.37216514,-0.0024148389,-0.005600387,0.0067598694,0.0,0.0,4.663009e-07,0.0006052562,0.011326837,2.5499233e-08,4.428521e-06,4.5853253e-06,2.7560522e-05,0.016431013,0.016713416,0.011357175,0.065717936,0.067470886,0.061057366,1.44196564e-11,1.4057405e-11,2.002743e-11,5.000004e-08,5.000004e-08,5.000007e-08,7.907865e-07,9.705903e-07,2.8485972e-06,1.2348804e-06,3.7267517e-07,2.544984e-06,0.0,0.0,0.00047059334,0.03367944,0.108369134,8389351,0.36495042,0.2470979,0.061732087,0.08928189,0.047944773,0.047944773,0.0,0.0,0.0,-0.001235,0,0,0,831,24,0,0,0,0,0,0,0
296801956,-0.99962056,-0.0015202693,0.0233456,-0.01454072,5.0202928,-0.2623788,0.91141146,8.201709,-49.520973,-18.256563,-1.832836e-05,1.584256e-05,-1.6321995e-06,-0.0003524791,0.0016672267,0.00017386068,0.23265241,0.03619631,0.37225524,-0.0024095231,-0.0055980827,0.006835315,0.0,0.0,5.099376e-07,0.0006676233,0.01134459,2.4669335e-08,4.3566874e-06,4.494406e-06,2.7467822e-05,0.016717786,0.016767252,0.011385787,0.06691557,0.06862226,0.061158884,1.44826815e-11,1.4122988e-11,1.9995186e-11,5e-08,5e-08,5.000018e-08,7.907705e-07,9.707749e-07,2.8320028e-06,1.2304607e-06,3.725201e-07,2.5309228e-06,0.0,0.0,0.00060634344,0.04819346,0.15313642,8389351,0.36815464,0.24730322,0.056620162,0.16396402,0.036930848,0.036930848,0.0,0.0,0.0,-0.001232,0,0,0,831,24,0,0,0,0,0,0,0
297006717,-0.99984723,0.0037823066,0.0099244155,-0.013887262,4.964581,-0.14102578,0.8037121,9.255532,-49.563713,-18.023497,-1.8257922e-05,1.5831058e-05,-1.5831936e-06,-0.00036055248,0.0016638858,0.00015254343,0.23265223,0.036200315,0.37234992,-0.0024082086,-0.0055956156,0.0069184434,0.0,0.0,4.246499e-07,0.00062585634,0.010547102,2.30189e-08,4.2782094e-06,4.4200083e-06,2.7410439e-05,0.01699924,0.016799444,0.011371123,0.067724034,0.06933144,0.06087591,1.4532849e-11,1.4177238e-11,1.9962492e-11,5.0000036e-08,5.0000036e-08,5.0000036e-08,7.9081207e-07,9.710336e-07,2.8176376e-06,1.2265414e-06,3.7239045e-07,2.5186184e-06,0.0,0.0,0.00025728662,0.047255352,0.1610893,8389351,0.37021005,0.24673045,0.11002551,0.057578955,0.03991083,0.03991083,0.0,0.0,0.0,-0.001311,0,0,0,831,24,0,0,0,0,0,0,0
297201888,-0.99989766,0.006812458,0.012449931,-0.0018171564,4.889835,-0.04196757,0.55327326,10.313506,-49.577023,-17.871353,-1.8154888e-05,1.585809e-05,-1.4637228e-06,-0.00037431068,0.001653295,0.00014904376,0.23264413,0.036205057,0.3724567,-0.0024204815,-0.0055926405,0.0070125763,0.0,0.0,4.1384587e-07,0.00058707723,0.010488455,2.1843162e-08,4.2405604e-06,4.3566747e-06,2.7249369e-05,0.01730072,0.016881911,0.011332349,0.068536125,0.07002211,0.060593717,1.4595334e-11,1.42424674e-11,1.992764e-11,5.0000004e-08,5.0000004e-08,5.0000004e-08,7.907492e-07,9.71214e-07,2.8018612e-06,1.2222035e-06,3.7225178e-07,2.5052443e-06,0.0,0.0,0.0006487592,0.034822594,0.12704289,8389351,0.3722341,0.24615791,0.08579825,0.12725165,0.029877549,0.029877549,0.0,0.0,0.0,-0.001229,0,0,0,831,24,0,0,0,0,0,0,0
297406724,-0.99965036,0.01480624,0.01590364,0.015073178,4.802268,0.008129052,0.29671162,11.407746,-49.587265,-17.748276,-1.8085559e-05,1.5834004e-05,-1.3570045e-06,-0.0003860741,0.0016516148,0.00014007011,0.23264119,0.03621119,0.37255168,-0.0024251218,-0.005589762,0.0070952857,0.0,0.0,3.55665e-07,0.00052312674,0.010408687,3.4336715e-08,4.2224924e-06,4.2889887e-06,2.7140426e-05,0.01769153,0.017100671,0.011383959,0.07030904,0.07166683,0.06110246,1.4682543e-11,1.4332331e-11,1.9917845e-11,5.000009e-08,5.000009e-08,5.000009e-08,7.909028e-07,9.716232e-07,2.7867104e-06,1.2178526e-06,3.7212158e-07,2.492258e-06,0.0,0.0,0.00068726216,0.03213195,0.11807536,8389351,0.37679687,0.24718912,0.070555456,0.07561922,0.009229333,0.009229333,0.0,0.0,0.0,-0.001304,0,0,0,831,24,0,0,0,0,0,0,0
297611009,-0.99922264,0.01816384,0.022070672,0.027150806,4.764432,0.0711497,0.15495372,12.402247,-49.552124,-17.648384,-1.805616e-05,1.5911764e-05,-1.2436005e-06,-0.00039157597,0.0016373874,0.00011904398,0.23263526,0.036211863,0.37266508,-0.0024356314,-0.005588361,0.0071938117,0.0,0.0,3.225323e-07,0.0005692409,0.0104976585,5.3784916e-08,4.201772e-06,4.230635e-06,2.6978152e-05,0.017792223,0.017091047,0.011373875,0.07107678,0.072276,0.060808875,1.474525e-11,1.4396732e-11,1.988379e-11,5e-08,5e-08,5e-08,7.9082275e-07,9.718044e-07,2.771731e-06,1.2135022e-06,3.7199374e-07,2.4796627e-06,0.0,0.0,0.0006809239,0.037218712,0.13084586,8389351,0.37861958,0.24659455,0.06831003,0.10646254,0.014947216,0.014947216,0.0,0.0,0.0,-0.001232,0,0,0,831,24,0,0,0,0,0,0,0
297809798,-0.99897933,0.022939945,0.019837532,0.03347493,4.7106266,0.082367055,0.024524586,13.444471,-49.524975,-17.611414,-1.8011822e-05,1.5936117e-05,-1.1402971e-06,-0.000400806,0.0016297033,0.00011130242,0.23262987,0.03621422,0.37276393,-0.0024446126,-0.0055870395,0.0072801337,0.0,0.0,2.531589e-07,0.00053100137,0.010097733,6.559716e-08,4.1752455e-06,4.181801e-06,2.6859321e-05,0.017908756,0.017141394,0.011375569,0.072276674,0.07331407,0.06087047,1.4819226e-11,1.4471337e-11,1.9861017e-11,5e-08,5e-08,5.0000054e-08,7.908693e-07,9.721175e-07,2.757276e-06,1.2091829e-06,3.718718e-07,2.4674202e-06,0.0,0.0,0.0006036739,0.026598318,0.096721955,8389351,0.38156357,0.24671942,0.08831739,0.092516236,0.015054886,0.015054886,0.0,0.0,0.0,-0.001311,0,0,0,831,24,0,0,0,0,0,0,0
298010948,-0.9987647,0.0283441,0.022085499,0.03432119,4.699977,0.06075801,-0.05835886,14.441244,-49.528862,-17.538998,-1.7857263e-05,1.5939857e-05,-9.485301e-07,-0.00042375686,0.0016272103,8.246744e-05,0.23262107,0.03622025,0.372855,-0.002458856,-0.0055847703,0.0073610204,0.0,0.0,2.9926974e-07,0.0005507967,0.010055543,6.833605e-08,4.158096e-06,4.1315166e-06,2.6784159e-05,0.017860446,0.01707084,0.011456999,0.072735764,0.07361061,0.061341733,1.4873719e-11,1.4527213e-11,1.9833298e-11,5.0000015e-08,5.0000015e-08,5.000004e-08,7.9089995e-07,9.723939e-07,2.744656e-06,1.2053266e-06,3.7176537e-07,2.4567214e-06,0.0,0.0,0.0010892415,0.0343602,0.11516686,8389351,0.38255244,0.24767263,0.071365476,0.16072355,0.008720999,0.008720999,0.0,0.0,0.0,-0.001306,0,0,0,831,24,0,0,0,0,0,0,0
298217712,-0.9988529,0.025868557,0.022058403,0.03372073,4.639265,0.06184672,-0.13872248,15.475464,-49.509647,-17.53824,-1.7844339e-05,1.5966241e-05,-8.1310225e-07,-0.0004312785,0.001621633,7.328982e-05,0.23261511,0.036224138,0.3729325,-0.0024707709,-0.0055832937,0.00742842,0.0,0.0,2.6103524e-07,0.0005649359,0.010175573,6.548235e-08,4.158266e-06,4.1252147e-06,2.6684436e-05,0.0179039,0.017094838,0.011395158,0.07407994,0.074797384,0.06068603,1.4955865e-11,1.4607579e-11,1.9821691e-11,5.0000004e-08,5e-08,5e-08,7.9101e-07,9.727718e-07,2.7309854e-06,1.2011179e-06,3.7165205e-07,2.4451056e-06,0.0,0.0,0.000851146,0.022908572,0.08105906,8389351,0.38584623,0.24634534,0.09130721,0.087429196,0.019812923,0.019812923,0.0,0.0,0.0,-0.001314,0,0,0,831,24,0,0,0,0,0,0,0
298420829,-0.9987375,0.036367558,0.017206805,0.03007834,4.5926166,0.06393558,-0.13494729,16.50414,-49.507133,-17.457975,-1.7732535e-05,1.6006932e-05,-6.675306e-07,-0.0004469124,0.0016193709,3.1007807e-05,0.23261012,0.03622599,0.37298402,-0.0024790328,-0.005582452,0.0074740034,0.0,0.0,2.9330522e-07,0.0005865982,0.009684576,5.920381e-08,4.1551853e-06,4.099817e-06,2.667517e-05,0.017890848,0.017073538,0.011400544,0.07523188,0.07578605,0.060795415,1.5037138e-11,1.4692648e-11,1.9825006e-11,5.0000025e-08,5e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00088278926,0.04213666,0.13883379,8389271,0.38861027,0.24656726,0.027569849,0.12713654,0.015094727,0.015094727,0.0,0.0,0.0,-0.00121,0,0,0,831,24,0,0,0,0,0,0,0
298625811,-0.99884593,0.030294832,0.027787268,0.024840595,4.588528,0.029154943,-0.14237474,17.480091,-49.503925,-17.42663,-1.7654475e-05,1.6059932e-05,-5.669757e-07,-0.0004565233,0.0016171013,7.0528254e-06,0.23261012,0.03622599,0.37298402,-0.0024790328,-0.005582452,0.0074740034,0.0,0.0,2.4764248e-07,0.0005886955,0.009847294,5.093939e-08,4.2144343e-06,4.1434564e-06,2.668556e-05,0.017809197,0.01702921,0.011431242,0.07631633,0.07670328,0.060876958,1.5112713e-11,1.4784859e-11,1.985189e-11,5.000006e-08,5.000006e-08,5.000006e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007292182,0.036554366,0.11976742,8389271,0.3911772,0.24673256,0.02027899,0.09002688,0.016805599,0.016805599,0.0,0.0,0.0,-0.001225,0,0,0,831,24,0,0,0,0,0,0,0
