timestamp,error_count,device_id,x,y,z,temperature,scaling,x_raw,y_raw,z_raw,is_external
124521128,0,396809,0.34893382,-0.059923813,0.28982452,0.0,0.003,112,-30,68,1
125518850,0,396809,0.18561703,0.26729885,0.3175839,0.0,0.003,58,83,77,1
126525836,0,396809,0.03137339,0.2238622,0.3916089,0.0,0.003,7,68,101,1
127525975,0,396809,0.10698302,0.14278048,0.425537,0.0,0.003,32,40,112,1
128531429,0,396809,-0.004919235,0.015366351,0.43479013,0.0,0.003,-5,-4,115,1
129526127,0,396809,-0.013992391,-0.07729847,0.43787453,0.0,0.003,-8,-36,116,1
130534454,0,396809,-0.047260627,-0.088881575,0.42245263,0.0,0.003,-19,-40,111,1
131531092,0,396809,0.016251462,0.16015515,0.42245263,0.0,0.003,2,46,111,1
132539373,0,396809,0.2128365,0.20359176,0.3545964,0.0,0.003,67,61,89,1
133533461,0,396809,0.3156656,0.053011432,0.32375267,0.0,0.003,101,9,79,1
134540802,0,396809,0.40942153,-0.028070282,0.22196828,0.0,0.003,132,-19,46,1
135535092,0,396809,0.40639716,-0.01648718,0.22813703,0.0,0.003,131,-15,48,1
136539847,0,396809,0.4215191,-0.042549163,0.21579954,0.0,0.003,136,-24,44,1
137545849,0,396809,0.4154703,-0.05702804,0.2188839,0.0,0.003,134,-29,45,1
138541177,0,396809,0.41244593,-0.06571537,0.22505265,0.0,0.003,133,-32,47,1
139546820,0,396809,0.34893382,-0.013591405,0.30216205,0.0,0.003,112,-14,72,1
140552330,0,396809,0.028349003,-0.0077998536,0.425537,0.0,0.003,6,-12,112,1
141559433,0,396809,0.0495197,-0.068611145,0.44404325,0.0,0.003,13,-33,118,1
142568098,0,396809,0.013227076,-0.07150692,0.43170577,0.0,0.003,1,-34,114,1
143566219,0,396809,0.02230023,-0.07150692,0.4409589,0.0,0.003,4,-34,117,1
144565243,0,396809,-0.0018948498,0.108031176,0.43479013,0.0,0.003,-4,28,115,1
145571781,0,396809,0.040446546,0.0935523,0.43170577,0.0,0.003,10,23,114,1
146568336,0,396809,0.10698302,0.17752978,0.4070308,0.0,0.003,32,52,106,1
147577095,0,396809,0.1311781,0.20069599,0.38852453,0.0,0.003,40,60,100,1
148573182,0,396809,0.15537319,0.20938332,0.3792714,0.0,0.003,48,63,97,1
149581135,0,396809,0.15537319,0.20648754,0.3792714,0.0,0.003,48,62,97,1
150580996,0,396809,0.14932442,0.2122791,0.37618703,0.0,0.003,46,64,96,1
151587814,0,396809,0.16444634,0.20938332,0.38852453,0.0,0.003,51,63,100,1
152581381,0,396809,0.20073897,0.23834108,0.3545964,0.0,0.003,63,73,89,1
153590428,0,396809,0.21586089,0.23834108,0.3330058,0.0,0.003,68,73,82,1
154597432,0,396809,0.22190966,0.21517487,0.3545964,0.0,0.003,70,65,89,1
155603087,0,396809,0.17654388,0.14567626,0.4131995,0.0,0.003,55,41,108,1
156601275,0,396809,0.0011295354,-0.251045,0.3545964,0.0,0.003,-3,-96,89,1
157606500,0,396809,0.35800698,-0.17285907,0.24355891,0.0,0.003,115,-69,53,1
158614289,0,396809,0.37312892,-0.15548441,0.25898075,0.0,0.003,120,-63,58,1
159614343,0,396809,0.30961683,-0.18733795,0.3175839,0.0,0.003,99,-74,77,1
160623433,0,396809,0.22493406,-0.18733795,0.36076513,0.0,0.003,71,-74,91,1
161620171,0,396809,0.16142195,-0.18733795,0.3916089,0.0,0.003,50,-74,101,1
162630454,0,396809,0.14025126,-0.23077458,0.38544017,0.0,0.003,43,-89,99,1
163637332,0,396809,0.14327565,-0.30316898,0.3175839,0.0,0.003,44,-114,77,1
164643895,0,396809,0.1946902,-0.24814923,0.3453433,0.0,0.003,61,-95,86,1
165645002,0,396809,0.1916658,-0.24525346,0.351512,0.0,0.003,60,-94,88,1
166639863,0,396809,0.1946902,-0.251045,0.34842765,0.0,0.003,61,-96,87,1
167647484,0,396809,0.22190966,-0.251045,0.3052464,0.0,0.003,70,-96,73,1
168645428,0,396809,0.397324,-0.07440269,0.22813703,0.0,0.003,128,-35,48,1
169650194,0,396809,0.19771457,0.11961427,0.3946933,0.0,0.003,62,32,102,1
170646191,0,396809,0.16142195,0.22096643,0.37618703,0.0,0.003,50,67,96,1
171652075,0,396809,0.13722686,0.22096643,0.37310264,0.0,0.003,42,67,95,1
172660131,0,396809,0.14932442,0.21807064,0.37618703,0.0,0.003,46,66,96,1
173655803,0,396809,0.14630002,0.21517487,0.37618703,0.0,0.003,45,65,96,1
174662203,0,396809,0.14630002,0.21517487,0.37310264,0.0,0.003,45,65,95,1
175669741,0,396809,0.15234879,0.2122791,0.3792714,0.0,0.003,47,64,97,1
176667072,0,396809,0.14932442,0.20359176,0.38852453,0.0,0.003,46,61,100,1
177675074,0,396809,0.1342025,0.26729885,0.3453433,0.0,0.003,41,83,86,1
178672115,0,396809,0.29751927,0.29046503,0.19112453,0.0,0.003,95,91,36,1
179677327,0,396809,0.30961683,-0.06571537,0.33609015,0.0,0.003,99,-32,83,1
180674428,0,396809,0.15234879,-0.24814923,0.34842765,0.0,0.003,47,-95,87,1
181682258,0,396809,0.1311781,-0.24525346,0.37001827,0.0,0.003,40,-94,94,1
182680148,0,396809,0.1342025,-0.2394619,0.3669339,0.0,0.003,41,-92,93,1
183685792,0,396809,0.1342025,-0.23656613,0.3792714,0.0,0.003,41,-91,97,1
184680116,0,396809,0.13722686,-0.24235767,0.3669339,0.0,0.003,42,-93,93,1
185687136,0,396809,0.09186109,-0.17285907,0.41011515,0.0,0.003,27,-69,107,1
186683437,0,396809,0.073714785,-0.2047126,0.40394637,0.0,0.003,21,-80,105,1
187680001,0,396809,0.08883671,-0.28000274,0.3453433,0.0,0.003,26,-106,86,1
188690237,0,396809,0.18864141,-0.34950137,0.22196828,0.0,0.003,59,-130,46,1
189684797,0,396809,0.38825083,-0.12363088,0.21579954,0.0,0.003,125,-52,44,1
190692446,0,396809,0.29147053,0.15146782,0.3299214,0.0,0.003,93,43,81,1
191687429,0,396809,0.24610475,0.23254952,0.3052464,0.0,0.003,78,71,73,1
192694116,0,396809,0.1946902,0.14567626,0.38544017,0.0,0.003,61,41,99,1
