timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
489846468,inf,0,0,0,0,0
489886462,inf,0,0,0,0,1
490626466,inf,0,1,0,0,1
490646463,inf,0,1,0,0,0
490786659,inf,0,0,0,0,0
490806463,inf,0,0,0,0,1
491206469,inf,0,1,0,0,1
491226463,inf,0,1,0,0,0
491367382,inf,0,0,0,0,0
491409387,inf,0,0,0,0,1
491807087,inf,0,1,0,0,1
491826454,inf,0,1,0,0,0
491966480,inf,0,0,0,0,0
491986640,inf,0,0,0,0,1
492426466,inf,0,1,0,0,1
492447158,inf,0,1,0,0,0
492627252,inf,0,0,0,0,0
492646756,inf,0,0,0,0,1
493066475,inf,0,1,0,0,1
493086466,inf,0,1,0,0,0
493286952,inf,0,0,0,0,0
493306459,inf,0,0,0,0,1
493686489,inf,0,1,0,0,1
493706801,inf,0,1,0,0,0
494726459,inf,0,1,0,0,0
494786937,inf,0,1,1,0,0
495107163,inf,0,1,1,1,0
496126461,inf,0,1,1,1,0
497126936,inf,0,1,1,1,0
