timestamp,total_written_kb,write_rate_kb_s,dropouts,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
280898917,6906.083,33.122593,10,2135,14336,0,3,120
281899768,6938.332,33.118286,10,4528,14336,0,3,120
282902068,6972.0,33.120537,10,5143,14336,0,3,120
283903131,7008.325,33.13552,10,3577,14336,0,3,120
284903997,7042.0,33.13792,10,4662,14336,0,3,120
285905065,7078.079,33.151535,10,3348,14336,0,3,120
286906256,7112.0,33.154938,10,4243,14336,0,3,120
287908970,7148.032,33.167866,10,2651,14336,0,3,120
288913422,7182.0,33.170883,10,3096,14336,0,3,120
289914825,7214.079,33.16565,10,5138,14336,0,3,120
290917932,7246.328,33.16098,10,6897,14336,0,3,120
291918917,7284.0947,33.181812,10,3528,14336,0,3,120
292919155,7316.1016,33.17645,10,5460,14336,0,3,120
293922835,7350.0,33.179157,10,4799,14336,0,3,120
294923117,7382.1953,33.174694,10,5742,14336,0,3,120
295925887,7418.158,33.186756,10,1475,14336,0,3,120
296926906,7448.0,33.17171,10,5038,14336,0,3,120
297928184,7484.254,33.18519,10,2437,14336,0,3,120
298929926,7518.0,33.18741,10,3205,14336,0,3,120
299933499,7554.1406,33.199867,10,1969,14336,0,3,120
300934491,7588.0,33.202606,10,3497,14336,0,3,120
301935084,7624.329,33.21614,10,1746,14336,0,3,120
302936249,7658.0,33.21795,10,2573,14336,0,3,120
303939865,7690.549,33.214542,10,4648,14336,0,3,120
304943813,7728.0,33.232197,10,1943,14336,0,3,120
305947277,7760.1016,33.22686,10,4924,14336,0,3,120
306947829,7796.576,33.240627,10,3143,14336,0,3,120
307948293,7830.037,33.241497,10,2532,14336,0,3,120
308948614,7862.3193,33.2374,10,3437,14336,0,3,120
309954330,7896.0,33.238464,10,3011,14336,0,3,120
310959066,7928.129,33.233154,10,3766,14336,0,3,120
311960749,7960.757,33.230392,10,4680,14336,0,3,120
312961878,7994.0,33.230293,10,4186,14336,0,3,120
313964874,8030.3887,33.242954,10,1455,14336,0,3,120
314965874,8064.0,33.244335,10,2689,14336,0,3,120
