timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
77532075,-0.20341316,-0.62051314,nan,-0.2036316,1.3149534e-21,-0.09593135,-0.22514896,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.01726789,-0.057887726,-0.59209263
77630266,-0.20341316,-0.62051314,nan,-0.2036316,4.5147764e-22,-0.112150475,-0.25951517,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.018252611,-0.05979115,-0.56247765
77731858,-0.20341316,-0.62051314,nan,-0.2036316,1.5006238e-22,-0.12825985,-0.30082923,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.020423386,-0.063609496,-0.54368335
77827150,-0.20341316,-0.62051314,nan,-0.2036316,5.296952e-23,-0.14117172,-0.33623973,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.02029355,-0.063582346,-0.53605616
77930872,-0.20341316,-0.62051314,nan,-0.2036316,1.7245274e-23,-0.16418996,-0.36649367,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.026008112,-0.06478736,-0.53495455
78033219,-0.20341316,-0.62051314,nan,-0.2036316,5.683464e-24,-0.1847282,-0.39474857,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.02578973,-0.065351315,-0.5409056
78130087,-0.20341316,-0.62051314,nan,-0.2036316,1.9740002e-24,-0.20120004,-0.41600913,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.026294714,-0.064533584,-0.5412053
78228342,-0.20341316,-0.62051314,nan,-0.2036316,6.764147e-25,-0.21346512,-0.43433377,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.022383334,-0.06626551,-0.53922683
78349322,-0.20341316,-0.62051314,nan,-0.2036316,1.8078201e-25,-0.2249085,-0.47329608,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.022295715,-0.070350334,-0.53597915
78442350,-0.20341316,-0.62051314,nan,-0.2036316,6.5202996e-26,-0.22839487,-0.49506837,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.020036755,-0.070752785,-0.53245234
78540980,-0.20341316,-0.62051314,nan,-0.2036316,2.2259866e-26,-0.2289541,-0.5125036,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.019808905,-0.0691767,-0.530383
78661321,-0.20341316,-0.62051314,nan,-0.22200435,5.9790484e-27,-0.22451593,-0.5290156,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.017418785,-0.0656564,-0.534171
78739329,-0.20341316,-0.62051314,nan,-0.22200435,2.5716176e-27,-0.21675341,-0.5387375,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.016399825,-0.06741473,-0.5334216
78866899,-0.20341316,-0.62051314,nan,-0.22200435,6.4640646e-28,-0.2020072,-0.54962593,-1.4057858,0.0,0.0,1.94128,0.0,0.0,0.0,-0.011592433,-0.07269021,-0.5185759
78964404,-0.20341316,-0.62051314,nan,-0.22200435,2.2309166e-28,-0.18747644,-0.5564629,-1.2218833,0.0,0.0,1.0995177,0.0,0.0,0.0,-0.008329239,-0.0695725,-0.48733228
79041894,-0.20341316,-0.62051314,nan,-0.22200435,9.6431096e-29,-0.17549554,-0.5577101,-1.1950479,0.0,0.0,-0.08357416,0.0,0.0,0.0,-0.0061330628,-0.06694332,-0.49088708
79154247,-0.20341316,-0.62051314,nan,-0.22200435,2.8973368e-29,-0.1539737,-0.5492092,-1.0782077,0.0,0.0,2.1634657,0.0,0.0,0.0,-0.0029621455,-0.06727022,-0.48124567
79251365,-0.20341316,-0.62051314,nan,-0.22200435,1.003874e-29,-0.13398676,-0.54310936,-0.7740531,0.0,0.0,4.0,0.0,0.0,0.0,0.0016843663,-0.06058632,-0.42639714
79357170,nan,nan,nan,-0.22200435,3.2040632e-30,-0.11633662,-0.5354298,-0.44025102,0.51969934,0.54726,2.1087794,0.0,0.0,0.0,0.001607718,-0.06618396,-0.38234192
79451426,nan,nan,nan,-0.22200435,1.1415589e-30,-0.007087059,-0.3950053,-0.33032784,2.0332062,2.4323797,0.22365949,0.0,0.0,0.0,0.008621361,-0.049370375,-0.40571222
79579843,nan,nan,nan,-0.22200435,2.83963e-31,0.38699743,-0.1074791,-0.33359548,3.467423,1.4357797,0.0,0.0,0.0,0.0,0.03957357,-0.025605863,-0.46644124
