timestamp,safety_switch_available,safety_off,override_available,override_enabled
221744432,1,1,0,0
222731842,1,1,0,0
223755911,1,1,0,0
224745267,1,1,0,0
225767860,1,1,0,0
226758080,1,1,0,0
227747639,1,1,0,0
228771437,1,1,0,0
229761151,1,1,0,0
230751044,1,1,0,0
231775185,1,1,0,0
232763828,1,1,0,0
233754773,1,1,0,0
234776666,1,1,0,0
235766668,1,1,0,0
236789877,1,1,0,0
237779768,1,1,0,0
238769772,1,1,0,0
239793930,1,1,0,0
240784320,1,1,0,0
241773060,1,1,0,0
242795631,1,1,0,0
243785634,1,1,0,0
244775746,1,1,0,0
245799455,1,1,0,0
246788849,1,1,0,0
247779207,1,1,0,0
248806110,1,1,0,0
249793990,1,1,0,0
250816328,1,1,0,0
251806333,1,1,0,0
252795109,1,1,0,0
253819939,1,1,0,0
254808054,1,1,0,0
255797870,1,1,0,0
256821091,1,1,0,0
257810640,1,1,0,0
258800821,1,1,0,0
259823814,1,1,0,0
260813768,1,1,0,0
261803960,1,1,0,0
262828267,1,1,0,0
263817162,1,1,0,0
264840162,1,1,0,0
265829649,1,1,0,0
266852834,1,1,0,0
267843907,1,1,0,0
268834785,1,1,0,0
269856966,1,1,0,0
270845865,1,1,0,0
271835804,1,1,0,0
272859507,1,1,0,0
273849369,1,1,0,0
274839351,1,1,0,0
275861864,1,1,0,0
276851866,1,1,0,0
277841842,1,1,0,0
278864834,1,1,0,0
279854873,1,1,0,0
280845449,1,1,0,0
281867970,1,1,0,0
282857813,1,1,0,0
283880673,1,1,0,0
284870625,1,1,0,0
285860707,1,1,0,0
286883834,1,1,0,0
287873786,1,1,0,0
288863981,1,1,0,0
289886850,1,1,0,0
290876776,1,1,0,0
291902205,1,1,0,0
292893175,1,1,0,0
293882309,1,1,0,0
294903896,1,1,0,0
295892834,1,1,0,0
296883123,1,1,0,0
297907505,1,1,0,0
298897983,1,1,0,0
299885755,1,1,0,0
300909116,1,1,0,0
301899067,1,1,0,0
302890429,1,1,0,0
303911879,1,1,0,0
304901761,1,1,0,0
305891728,1,1,0,0
306915306,1,1,0,0
307904635,1,1,0,0
308894632,1,1,0,0
309917830,1,1,0,0
310907829,1,1,0,0
311898619,1,1,0,0
312921782,1,1,0,0
313910839,1,1,0,0
314935408,1,1,0,0
315924233,1,1,0,0
316915999,1,1,0,0
317936662,1,1,0,0
318926628,1,1,0,0
319916651,1,1,0,0
320939753,1,1,0,0
321929758,1,1,0,0
322919757,1,1,0,0
323942938,1,1,0,0
324934738,1,1,0,0
325958405,1,1,0,0
326949300,1,1,0,0
327937258,1,1,0,0
328958651,1,1,0,0
329948632,1,1,0,0
330938654,1,1,0,0
331961840,1,1,0,0
332951843,1,1,0,0
333941835,1,1,0,0
334965249,1,1,0,0
335956884,1,1,0,0
336946097,1,1,0,0
337967728,1,1,0,0
338957636,1,1,0,0
339947660,1,1,0,0
340973991,1,1,0,0
341961138,1,1,0,0
342984078,1,1,0,0
343973827,1,1,0,0
344963897,1,1,0,0
345987029,1,1,0,0
346978833,1,1,0,0
347969052,1,1,0,0
348989844,1,1,0,0
349979645,1,1,0,0
350969635,1,1,0,0
351993090,1,1,0,0
352983095,1,1,0,0
353973101,1,1,0,0
354997822,1,1,0,0
355985749,1,1,0,0
357008888,1,1,0,0
357999331,1,1,0,0
358988855,1,1,0,0
360014364,1,1,0,0
361008369,1,1,0,0
361993882,1,1,0,0
363014646,1,1,0,0
364004628,1,1,0,0
364994631,1,1,0,0
366017759,1,1,0,0
367007626,1,1,0,0
367997635,1,1,0,0
369020766,1,1,0,0
370011349,1,1,0,0
371000753,1,1,0,0
372024477,1,1,0,0
373013880,1,1,0,0
374007244,1,1,0,0
375026753,1,1,0,0
376020706,1,1,0,0
377010456,1,1,0,0
378029802,1,1,0,0
379019792,1,1,0,0
380044360,1,1,0,0
381034200,1,1,0,0
382022793,1,1,0,0
383045819,1,1,0,0
384036157,1,1,0,0
385026139,1,1,0,0
386048669,1,1,0,0
387038627,1,1,0,0
388061916,1,1,0,0
389051737,1,1,0,0
390041755,1,1,0,0
391064758,1,1,0,0
392055239,1,1,0,0
393047052,1,1,0,0
394067805,1,1,0,0
395059080,1,1,0,0
396049787,1,1,0,0
397071339,1,1,0,0
398061384,1,1,0,0
399083628,1,1,0,0
400073624,1,1,0,0
401063628,1,1,0,0
402086843,1,1,0,0
403076835,1,1,0,0
404102178,1,1,0,0
405090815,1,1,0,0
406080371,1,1,0,0
