timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,id,is_powering_off,warning
98478750,11.906401,12.048009,50.778,50.777958,0.0,323.4807,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
99475782,11.8244,11.959661,50.778,50.777958,0.0,337.54382,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
100485166,11.586599,11.953487,50.778,50.777958,0.0,351.78125,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
101485167,12.021199,12.026847,50.778,50.777958,0.0,365.88614,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
102486303,12.0868,12.091389,50.778,50.77754,0.0,380.0067,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
103485173,11.972,11.97494,50.778,48.398598,0.0,392.9504,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
104485166,11.9556,11.881727,50.778,50.46249,0.0,407.05524,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
105486178,11.7916,11.81193,50.778,50.736195,0.0,421.1745,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
106485167,12.119599,11.916128,38.7748,46.007835,0.0,434.44308,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
107485175,12.054,11.986274,50.778,49.820965,0.0,448.24548,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
108486259,12.0376,11.99609,50.778,50.651123,0.0,462.3657,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
109485167,11.7588,11.867155,50.778,50.761223,0.0,476.4552,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
110495864,11.693199,11.819764,50.778,50.775864,0.0,490.71094,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
111496474,11.9884,11.849702,50.778,50.777767,0.0,504.82462,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
112495171,11.9556,11.846321,50.778,50.777958,0.0,518.91113,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
113498395,11.9884,11.781274,50.778,50.777958,0.0,533.0613,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
114495169,11.8326,11.7167,50.778,50.777958,0.0,547.1208,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
115495483,11.6276,11.70532,50.778,50.777958,0.0,561.23035,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
116507290,11.9884,11.761507,50.778,50.777958,0.0,575.50195,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
117508156,11.6276,11.880892,50.778,50.777958,0.0,589.619,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
118505169,11.7588,11.812141,50.778,50.777958,0.0,603.6819,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
119507281,11.4307995,11.745983,50.778,50.777958,0.0,617.8166,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
120509381,11.8572,11.717998,50.778,50.777958,0.0,631.95135,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
123515166,11.9556,11.505873,50.778,50.777958,0.0,674.3479,0.96884686,1.0042486,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
124516205,12.0868,11.77684,49.6124,50.72616,0.0,688.4607,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
125515166,12.218,11.9241,50.778,50.756863,0.0,702.53894,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
126525167,11.562,11.889584,50.778,50.775303,0.0,716.785,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
127525471,11.471799,11.642173,50.778,50.777683,0.0,730.8946,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
128525171,11.4307995,11.44302,50.778,50.777958,0.0,744.99524,0.93950087,1.008284,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
129525167,11.07,11.433443,50.778,50.777958,0.0,759.10034,0.93166167,1.0093675,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
130525205,11.381599,11.499564,50.778,50.777958,0.0,773.2062,0.95820814,1.0057079,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
131525215,11.7588,11.57683,50.778,50.777958,0.0,787.31146,0.98978096,1.0013897,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
132536222,11.562,11.6278515,50.778,50.777958,0.0,801.57196,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
133538279,12.054,11.786892,43.3876,49.491806,0.0,815.50446,1.0,1.0,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1,0,0
