timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
76767661,76767553,-0.1581613,0.07186374,-0.12701677
76790792,76790691,-0.014370441,-0.006140189,-0.1260982
76869881,76869765,-0.06259701,-0.02591988,-0.10991239
76892675,76892571,-0.10153095,0.018909046,-0.09414037
76912805,76912702,-0.08472286,0.025875716,-0.075247854
76932658,76932552,-0.05720615,0.09548724,-0.07598328
76956659,76956555,-0.1250931,0.14284328,-0.0684123
76979653,76979552,-0.15933059,0.08361001,-0.056664694
76999653,76999551,-0.20747983,0.0079228915,-0.041679066
77020653,77020552,-0.19148248,-0.052063137,-0.037545152
77041661,77041560,-0.16348459,-0.040914636,-0.04765872
77063657,77063551,-0.1445387,0.014477307,-0.050882965
77083658,77083554,-0.15118545,0.07939792,-0.049068913
77103650,77103549,-0.16808128,0.090523906,-0.057164952
77126654,77126552,-0.10922347,0.07275744,-0.05419574
77147899,77147799,-0.097827226,0.016957153,-0.03519167
77166661,77166560,-0.05944723,-0.007109471,-0.031923376
77190746,77190642,-0.0015909,-0.021109551,-0.010721747
77210653,77210552,0.0027127813,-0.023150483,-0.016788412
77229669,77229558,-0.004885898,-0.025002973,-0.030324508
77253658,77253550,-0.122486666,-0.018367091,-0.03804471
77276686,77276585,-0.18866411,-0.02909682,-0.03715674
77297674,77297571,-0.21413094,-0.06598997,-0.063545205
77317659,77317558,-0.16887228,-0.053096488,-0.06443115
77339664,77339552,-0.10975308,0.017993081,-0.07375992
77360661,77360560,-0.022231776,0.035000917,-0.06839622
77381664,77381561,0.06971925,0.04095908,-0.07436693
77405665,77405561,0.0818536,0.053973045,-0.06924768
77425825,77425724,0.09285966,0.04911554,-0.06652608
77448661,77448560,0.09704397,-0.0021286707,-0.051428724
77468785,77468684,0.06833967,-0.05785203,-0.04763128
77492655,77492551,-0.011365389,-0.026918342,-0.042294562
77514693,77514580,-0.07525949,0.026255442,-0.044464737
77535655,77535550,-0.1361994,0.06382662,-0.04769171
77556657,77556556,-0.14284052,0.039958533,-0.04815401
77581832,77581726,-0.10478767,0.0008560511,-0.048119593
77600650,77600549,-0.12662736,-0.014786094,-0.047552362
77622665,77622559,-0.13342163,-0.0117371995,-0.03671616
77643659,77643555,-0.104300894,0.0039856127,-0.021909753
