timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
379903073,14,0,116,106,96,55,73
380945331,14,0,112,102,96,56,84
381980211,14,0,108,100,100,57,89
382908407,14,0,103,95,100,60,74
383945911,14,0,103,95,97,52,67
384971422,14,0,104,96,97,53,70
385901407,14,0,104,96,100,58,68
386945739,14,0,102,95,100,53,69
387993422,14,0,102,92,90,58,67
388901416,14,0,102,92,100,57,65
389939059,14,0,104,95,100,52,68
390976419,14,0,104,95,99,56,68
391916402,14,0,108,97,100,57,70
392951411,14,0,107,99,100,57,70
393898379,14,0,105,96,100,56,68
394921490,14,0,104,95,94,54,72
395971407,14,0,103,95,98,57,67
396978750,15,0,102,93,100,56,65
397890414,15,0,102,93,100,56,68
398950147,15,0,100,91,96,56,69
399980848,15,0,102,91,96,65,71
400911413,15,0,103,94,99,56,69
401950785,15,0,104,95,99,54,70
402990240,15,0,107,98,96,57,70
403899421,15,0,109,100,100,57,65
404953413,15,0,111,101,100,52,67
405983426,15,0,119,107,100,57,63
406919422,15,0,119,108,94,55,70
407954057,15,0,119,108,99,58,68
408980160,15,0,117,108,100,55,79
409915003,15,0,115,106,100,55,71
410957472,15,0,115,106,97,59,64
411914407,15,0,111,105,100,57,81
412909698,15,0,110,101,94,55,180
413967287,15,0,108,101,93,57,175
415000009,16,0,108,97,90,52,164
415914402,16,0,107,118,100,58,84
416950458,16,0,105,106,97,57,69
417997414,16,0,105,102,94,57,79
418916876,16,0,104,99,97,57,178
419960644,16,0,97,95,99,57,69
420996182,16,0,105,136,100,57,67
421914186,16,0,112,116,97,107,150
422907794,16,0,118,112,100,69,180
423993618,17,0,119,111,98,53,109
424915069,17,0,119,110,100,60,152
425976189,17,0,115,105,95,69,155
427513473,17,0,107,97,0,60,107
428660410,17,0,107,96,0,57,115
431976405,17,0,109,100,97,55,115
432907128,17,0,111,102,100,57,167
434059427,17,0,111,102,79,65,150
434985425,17,0,114,103,85,61,203
435904193,17,0,115,105,100,58,210
436930407,17,0,117,107,100,65,157
438105077,17,0,119,109,71,58,78
438904209,17,0,121,111,99,57,151
439926829,17,0,121,112,100,54,151
440977622,17,0,118,108,97,58,158
442064932,17,0,123,112,87,59,104
442934380,17,0,124,114,97,56,69
443976420,17,0,124,115,100,62,163
444906403,17,0,119,106,100,58,72
445989779,17,0,121,111,97,58,168
446986486,17,0,115,104,100,62,70
447917428,17,0,115,104,96,63,77
449108369,18,0,103,101,78,57,167
449989417,19,0,119,110,96,61,166
450912976,19,0,135,128,100,56,103
451945463,19,0,138,130,100,58,155
453033406,19,0,128,118,84,79,189
453908979,20,0,121,118,99,65,189
454948414,20,0,126,116,100,57,166
456112987,21,0,119,110,70,54,79
456903411,21,0,114,105,96,71,78
457949063,21,0,130,117,100,56,170
458980402,21,0,145,136,100,49,208
459905401,21,0,146,137,100,71,160
460960670,21,0,146,136,90,59,133
461982476,21,0,147,137,94,57,85
462918794,21,0,147,137,97,54,181
463948175,21,0,149,137,100,54,163
464923268,21,0,150,141,100,59,86
465908979,21,0,151,141,100,55,74
466948252,21,0,153,143,97,54,70
468005415,21,0,156,147,91,57,72
468948410,21,0,158,150,98,66,71
469957432,21,0,158,149,99,57,71
470991402,21,0,160,151,100,56,66
471923407,21,0,162,152,94,52,65
472944407,21,0,163,152,100,54,65
474002418,21,0,163,153,100,56,64
474922040,21,0,164,154,100,53,69
475950985,21,0,166,156,97,55,69
476916443,21,0,162,154,100,52,60
477919420,21,0,161,152,99,56,63
478947415,21,0,158,149,100,61,65
480007468,21,0,163,151,75,53,100
480917366,21,0,164,155,97,57,65
481957744,21,0,165,155,97,55,69
483037503,21,0,165,155,90,56,70
483952744,21,0,165,155,96,95,72
484951417,21,0,165,155,100,60,69
486014425,21,0,161,154,100,58,67
486931495,21,0,152,147,96,55,93
487980448,21,0,148,139,96,50,66
489004464,21,0,147,137,100,55,71
489926493,21,0,144,136,100,52,72
490958788,21,0,144,136,96,49,69
491898488,21,0,143,132,100,53,62
492927187,21,0,144,134,98,55,71
493960439,21,0,144,134,100,60,64
495008446,21,0,144,134,97,50,66
495917957,21,0,144,135,99,48,62
496966041,21,0,144,135,100,52,70
497999414,21,0,139,129,100,59,75
