timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
288329813,32767,32767,32767,32767,-9,32767
288334719,32767,32767,32767,32767,32767,32767
288339794,32767,32767,32767,32767,32767,32767
288344930,32767,32767,32767,-9,-47,32767
288349728,32767,32767,32767,32767,32767,32767
288354032,32767,32767,32767,32767,-23,32767
288358726,32767,32767,32767,32767,32767,32767
288363811,32767,32767,32767,32767,32767,32767
288368749,32767,32767,32767,3,-57,32767
288373799,32767,32767,32767,32767,32767,32767
288378809,32767,32767,32767,32767,-45,32767
288383812,32767,32767,32767,32767,32767,32767
288388717,32767,32767,32767,32767,-29,32767
288392814,32767,32767,32767,32767,32767,32767
288396879,32767,32767,32767,-29,32767,32767
288400715,32767,32767,32767,32767,-36,32767
288404732,32767,32767,32767,32767,32767,32767
288408810,32767,32767,32767,32767,32767,32767
288412803,32767,32767,32767,32767,-44,32767
288417737,32767,32767,32767,32767,32767,32767
288422719,32767,32767,32767,-24,-25,32767
288427805,32767,32767,32767,32767,32767,32767
288432734,32767,32767,32767,32767,-10,32767
288436798,32767,32767,32767,32767,32767,32767
288441741,32767,32767,32767,32767,32767,32767
288446807,32767,32767,32767,-14,-35,32767
288451742,32767,32767,32767,32767,32767,32767
288456801,32767,32767,32767,32767,-20,32767
288461723,32767,32767,32767,32767,32767,32767
288467064,32767,32767,32767,32767,-10,32767
288471810,32767,32767,32767,-15,32767,32767
288475801,32767,32767,32767,32767,32767,32767
288480746,32767,32767,32767,32767,-33,32767
288485803,32767,32767,32767,32767,32767,32767
288490714,32767,32767,32767,32767,-19,32767
288495810,32767,32767,32767,0,32767,32767
288500868,32767,32767,32767,32767,32767,32767
288505821,32767,32767,32767,32767,-57,32767
288509905,32767,32767,32767,32767,32767,32767
288514731,32767,32767,32767,32767,-33,32767
288519012,32767,32767,32767,32767,32767,32767
288522717,32767,32767,32767,-13,32767,32767
288526719,32767,32767,32767,32767,-35,32767
288530812,32767,32767,32767,32767,32767,32767
288534800,32767,32767,32767,32767,32767,32767
288539734,32767,32767,32767,32767,-49,32767
288544798,32767,32767,32767,32767,32767,32767
288549717,32767,32767,32767,-29,-36,32767
288554808,32767,32767,32767,32767,32767,32767
288558808,32767,32767,32767,32767,-15,32767
288563742,32767,32767,32767,32767,32767,32767
288568817,32767,32767,32767,32767,32767,32767
288573723,32767,32767,32767,-18,-49,32767
288578791,32767,32767,32767,32767,32767,32767
288583719,32767,32767,32767,32767,-36,32767
288588809,32767,32767,32767,32767,32767,32767
288593818,32767,32767,32767,32767,-24,32767
288597800,32767,32767,32767,-8,32767,32767
288602739,32767,32767,32767,32767,32767,32767
288607817,32767,32767,32767,32767,-51,32767
288612714,32767,32767,32767,32767,32767,32767
288617797,32767,32767,32767,32767,-36,32767
288622884,32767,32767,32767,-8,32767,32767
288627812,32767,32767,32767,32767,-24,32767
288632058,32767,32767,32767,32767,32767,32767
288636730,32767,32767,32767,32767,32767,32767
288641820,32767,32767,32767,32767,-50,32767
288646725,32767,32767,32767,32767,32767,32767
288651799,32767,32767,32767,-30,-36,32767
288656801,32767,32767,32767,32767,32767,32767
288661811,32767,32767,32767,32767,-24,32767
288666717,32767,32767,32767,32767,32767,32767
288671821,32767,32767,32767,32767,-11,32767
288676729,32767,32767,32767,-28,32767,32767
288680794,32767,32767,32767,32767,32767,32767
288685714,32767,32767,32767,32767,-33,32767
288690796,32767,32767,32767,32767,32767,32767
288695753,32767,32767,32767,32767,-14,32767
288700794,32767,32767,32767,-25,32767,32767
288705716,32767,32767,32767,32767,32767,32767
288710729,32767,32767,32767,32767,-49,32767
288714714,32767,32767,32767,32767,32767,32767
288719813,32767,32767,32767,32767,-27,32767
288724723,32767,32767,32767,-10,32767,32767
288729738,32767,32767,32767,32767,-13,32767
288734726,32767,32767,32767,32767,32767,32767
288739800,32767,32767,32767,32767,32767,32767
