timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
77451799,0.99027854,-0.034120392,0.0067309146,-0.13468057,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77504812,0.9901076,-0.033812977,0.005907053,-0.13604677,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77555722,0.98983383,-0.036809437,0.007321339,-0.1371878,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77607791,0.9895688,-0.039806396,0.0074858926,-0.13825013,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77661012,0.9893402,-0.042927735,0.007799622,-0.1389329,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77711729,0.9892158,-0.045267206,0.007723038,-0.13908021,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77763797,0.9891917,-0.04642327,0.0066131577,-0.1389281,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77816856,0.98905456,-0.049404707,0.00710828,-0.13885139,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77867712,0.98893064,-0.052716184,0.007783884,-0.13847946,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77919810,0.9889497,-0.05382686,0.0073792795,-0.1379374,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
77972877,0.98894656,-0.05528563,0.006829108,-0.1374107,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
78021800,0.98892796,-0.05590493,0.009068639,-0.13716349,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
78075714,0.9889489,-0.055494007,0.012379567,-0.13692053,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
78128842,0.9888826,-0.056896098,0.013173951,-0.13674979,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
78182728,0.98886126,-0.05755824,0.0128113935,-0.13666114,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
78235723,0.98891175,-0.05628575,0.013201687,-0.1367892,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
78289731,0.98885643,-0.056254923,0.013255021,-0.13719596,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
78343723,0.98885185,-0.056241192,0.011800864,-0.13736719,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
78394717,0.98886025,-0.05708473,0.012323008,-0.13691193,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
78445741,0.9888516,-0.05943778,0.013803713,-0.13582765,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
78494886,0.9888058,-0.062757455,0.014249186,-0.13461745,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
78550717,0.98898804,-0.06319074,0.012606065,-0.13323231,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
78601741,0.9891825,-0.062181942,0.010062315,-0.1324772,0.99999946,-1.0105426e-09,1.4616603e-09,0.0010481284,3
78655807,0.9880349,-0.061004672,0.009413692,-0.14133999,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
78703791,0.98812497,-0.059283588,0.010431204,-0.14137082,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
78752822,0.98822075,-0.058094196,0.010337118,-0.14120236,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
78806875,0.9882007,-0.059054527,0.0066765137,-0.1411641,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
78859792,0.9881376,-0.059474293,0.004303147,-0.14152148,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
78913739,0.9881513,-0.05769795,0.0041636536,-0.14216444,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
78966714,0.98804367,-0.057007942,0.0035838995,-0.14320289,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79015714,0.9878778,-0.05862975,0.0022792614,-0.1437179,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79064734,0.9878561,-0.06050869,0.0024376297,-0.14308476,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79117791,0.9879924,-0.061442196,0.0023985063,-0.14173976,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79171732,0.9882601,-0.061149392,0.0001963383,-0.1400104,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79225803,0.98850304,-0.061523933,-0.0016833178,-0.13810723,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79278724,0.9886032,-0.06442543,-0.0028869542,-0.13603234,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79327800,0.98870414,-0.06710279,-0.0047357804,-0.13393669,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79381809,0.98879063,-0.069625475,-0.007046859,-0.13189335,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79434724,0.98870873,-0.07360834,-0.008330793,-0.13025954,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79488718,0.9888653,-0.07341337,-0.011048613,-0.12897226,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79541815,0.98948383,-0.06598637,-0.014650416,-0.12787947,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79590807,0.99018735,-0.055137057,-0.018501189,-0.12707014,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79641770,0.9907115,-0.042200908,-0.026013097,-0.12662251,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79692807,0.9907751,-0.031955406,-0.037923075,-0.12611663,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
79746924,0.9904772,-0.024355603,-0.049276292,-0.12622896,0.99995786,8.316803e-09,-2.192886e-09,-0.009186253,4
