timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
475610916,0.18561703,0.032741006,0.4131995
475622209,0.1916658,0.03563678,0.41011515
475633489,0.18864141,0.038532555,0.41011515
475644856,0.18864141,0.038532555,0.4131995
475656120,0.18561703,0.03563678,0.41011515
475667428,0.18561703,0.038532555,0.4162839
475678847,0.18561703,0.03563678,0.4131995
475690102,0.18864141,0.038532555,0.4131995
475701369,0.18864141,0.038532555,0.4131995
475713322,0.18864141,0.03563678,0.4131995
475725221,0.18561703,0.03563678,0.41011515
475736507,0.18864141,0.038532555,0.4131995
475747861,0.18864141,0.038532555,0.4131995
475759130,0.18561703,0.038532555,0.4131995
475770429,0.18864141,0.038532555,0.4162839
475781811,0.18259265,0.03563678,0.4131995
475793081,0.18561703,0.032741006,0.4131995
475804365,0.18561703,0.03563678,0.4131995
475816254,0.18561703,0.03563678,0.4131995
475827801,0.18259265,0.032741006,0.41011515
475839092,0.18259265,0.02984523,0.4070308
475850433,0.18259265,0.03563678,0.4131995
475861799,0.18561703,0.03563678,0.4131995
475873182,0.18864141,0.03563678,0.4131995
475884480,0.18259265,0.03563678,0.4162839
475895849,0.18259265,0.03563678,0.41011515
475907113,0.18259265,0.03563678,0.4131995
475918428,0.18561703,0.03563678,0.4162839
475929869,0.18561703,0.03563678,0.41011515
475941133,0.18259265,0.032741006,0.4131995
475952449,0.18259265,0.032741006,0.400862
475963866,0.18259265,0.032741006,0.400862
475975153,0.18259265,0.032741006,0.4131995
475986460,0.18259265,0.03563678,0.4131995
475998088,0.18259265,0.032741006,0.4131995
476009374,0.18259265,0.032741006,0.42245263
476021277,0.18259265,0.032741006,0.4162839
476032831,0.18259265,0.032741006,0.4162839
476044745,0.18561703,0.03563678,0.4131995
476056026,0.18561703,0.032741006,0.4162839
476067302,0.18561703,0.032741006,0.41011515
476078864,0.18561703,0.02984523,0.41011515
476090121,0.18561703,0.038532555,0.41936827
476101432,0.18561703,0.038532555,0.4131995
476113322,0.18561703,0.03563678,0.4162839
476125159,0.18561703,0.03563678,0.4070308
476136456,0.18259265,0.03563678,0.4131995
476147801,0.17956828,0.03563678,0.4162839
476159195,0.18259265,0.032741006,0.4131995
476170458,0.18561703,0.032741006,0.4131995
476181815,0.18561703,0.032741006,0.4131995
476193094,0.18561703,0.032741006,0.4162839
476204376,0.18561703,0.032741006,0.4131995
476216266,0.18864141,0.032741006,0.41011515
476227870,0.18864141,0.032741006,0.4162839
476239180,0.18864141,0.03563678,0.41011515
476250451,0.18864141,0.032741006,0.4162839
476261860,0.18864141,0.02984523,0.4070308
476273128,0.1916658,0.026949454,0.41011515
476284444,0.18864141,0.02984523,0.400862
476295868,0.18864141,0.02984523,0.41011515
476307137,0.18259265,0.02984523,0.400862
476318432,0.18259265,0.026949454,0.4131995
476329868,0.18561703,0.026949454,0.41011515
476341129,0.18561703,0.02984523,0.4131995
476352428,0.18259265,0.02984523,0.40394637
476363790,0.18259265,0.026949454,0.4131995
476375218,0.18259265,0.026949454,0.41011515
476386953,0.18561703,0.026949454,0.4131995
476398431,0.18561703,0.026949454,0.4070308
476409839,0.18259265,0.026949454,0.4131995
476421340,0.18259265,0.026949454,0.40394637
476432825,0.18259265,0.026949454,0.41011515
476444490,0.18561703,0.02984523,0.41936827
476455870,0.18259265,0.032741006,0.4131995
476467149,0.18259265,0.02984523,0.4162839
476478464,0.18259265,0.02984523,0.41936827
476489977,0.18259265,0.032741006,0.4070308
476501260,0.18561703,0.032741006,0.41011515
476512843,0.18259265,0.02984523,0.4162839
476524121,0.18561703,0.02984523,0.40394637
476535429,0.18864141,0.032741006,0.4070308
476547211,0.18864141,0.032741006,0.4131995
476558867,0.18561703,0.03563678,0.40394637
476570339,0.18561703,0.032741006,0.4162839
476581890,0.18561703,0.032741006,0.4131995
476593976,0.18561703,0.03563678,0.4131995
476605239,0.18561703,0.03563678,0.4162839
476616507,0.18259265,0.03563678,0.4131995
476627916,0.18561703,0.03563678,0.4070308
476639199,0.18864141,0.03563678,0.41011515
476650480,0.18561703,0.038532555,0.4162839
476661877,0.18561703,0.03563678,0.40394637
476673150,0.18259265,0.03563678,0.4131995
476684428,0.18561703,0.03563678,0.4070308
476695781,0.18864141,0.04142833,0.4162839
476707165,0.18561703,0.04142833,0.4070308
476718428,0.18561703,0.04142833,0.4070308
476729862,0.18561703,0.038532555,0.41011515
476741129,0.18259265,0.04142833,0.41011515
476752432,0.18561703,0.038532555,0.4131995
476763798,0.18561703,0.038532555,0.4162839
476775226,0.18561703,0.03563678,0.41011515
476786507,0.18864141,0.038532555,0.4162839
476798092,0.18864141,0.038532555,0.4070308
476809433,0.18561703,0.03563678,0.4131995
476821233,0.18259265,0.038532555,0.4070308
476832791,0.18864141,0.03563678,0.4162839
476844848,0.18561703,0.038532555,0.41011515
476856121,0.18561703,0.038532555,0.4131995
