timestamp,nav_state_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status
185048147,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
186051212,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
187063164,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
188071235,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
189072091,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
190075912,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
191087276,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
192094278,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
193102755,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
194108991,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
195117993,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
196124232,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
197127755,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
198142346,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
199148265,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200156302,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
201166322,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
202172893,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
203174742,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
204177418,135721385,304676911,304152591,304676911,1,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
204782311,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
205790962,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
206797365,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
207798708,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
208805367,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
209812201,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210815897,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
211817160,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
212830366,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
213838448,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
214848783,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
215852141,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
216864094,204782304,304676911,304152591,304676911,15,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
