timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
453564690,453564558,-0.013273403,-0.033616327,0.10957121,0.55103624,0.0,0.0,0.0,1.0
453669687,453669551,0.046648245,-0.038582206,0.1066989,0.5500418,0.0,0.0,0.0,1.0
453771709,453771563,0.008116171,0.0062661096,0.11217305,0.54345006,0.0,0.0,0.0,1.0
453873703,453873550,-0.02344104,-0.054647468,0.11452034,0.5415373,0.0,0.0,0.0,1.0
453974693,453974554,0.062844485,-0.03485691,0.11043714,0.54243827,0.0,0.0,0.0,1.0
454074693,454074557,0.03941545,-0.031548444,0.10540037,0.5433041,0.0,0.0,0.0,1.0
454176913,454176781,0.0032940004,-0.009535597,0.10184128,0.54499406,0.0,0.0,0.0,1.0
454278694,454278559,0.04136678,-0.024775723,0.10216781,0.5468109,0.0,0.0,0.0,1.0
454380708,454380576,0.093917824,-0.022851048,0.103336535,0.55017734,0.0,0.0,0.0,1.0
454483688,454483551,0.07060826,-0.026398065,0.09907877,0.5561524,0.0,0.0,0.0,1.0
454585700,454585551,0.0018265545,-0.058686808,0.102271564,0.560624,0.0,0.0,0.0,1.0
454688692,454688550,0.029067155,-0.025008254,0.09878528,0.561881,0.0,0.0,0.0,1.0
454789707,454789569,-0.014978742,-0.00981475,0.102546714,0.55952626,0.0,0.0,0.0,1.0
454891701,454891567,-0.021707907,-0.029124461,0.10427558,0.55862814,0.0,0.0,0.0,1.0
454993685,454993551,0.0010862686,-0.016147343,0.10583762,0.55466324,0.0,0.0,0.0,1.0
455093681,455093549,0.07911064,-0.013378403,0.11720661,0.55972505,0.0,0.0,0.0,1.0
455195691,455195556,0.044679336,-0.0330549,0.11815371,0.5646174,0.0,0.0,0.0,1.0
455297874,455297733,0.013302654,-0.033599447,0.11315083,0.5745005,0.0,0.0,0.0,1.0
455398686,455398550,-0.035526898,-0.02031677,0.11812093,0.5839766,0.0,0.0,0.0,1.0
455500686,455500552,0.063860826,-0.014367461,0.116122246,0.5883769,0.0,0.0,0.0,-1.0
455600704,455600572,0.08169079,-0.014073935,0.10034547,0.5815277,0.0,0.0,0.0,-1.0
455702695,455702560,0.08901925,-0.03341005,0.092971034,0.5620259,0.0,0.0,0.0,-1.0
455804699,455804560,0.0904638,-0.033266217,0.08173843,0.52414435,0.0,0.0,0.0,-1.0
455907698,455907551,0.03847392,0.009950256,0.06597246,0.46862704,0.0,0.0,0.0,-1.0
456009804,456009664,0.03106651,0.019047663,0.05776296,0.4480995,0.0,0.0,0.0,-1.0
456112699,456112561,0.04211825,-0.0087078465,0.06517673,0.4780364,0.0,0.0,0.0,-1.0
456214690,456214554,0.1044091,0.041421376,0.07015586,0.5121586,0.0,0.0,0.0,-1.0
456319709,456319568,0.034806732,0.05065593,0.0722501,0.5424847,0.0,0.0,0.0,-1.0
456419683,456419549,0.079450995,0.026498873,0.06939523,0.5509097,0.0,0.0,0.0,-1.0
456522779,456522648,0.036342982,0.019738227,0.06267543,0.5427457,0.0,0.0,0.0,-1.0
456622693,456622560,0.03312048,0.058741685,0.070833236,0.53768176,0.0,0.0,0.0,-1.0
456725688,456725550,0.03426762,0.0814679,0.06224496,0.5301583,0.0,0.0,0.0,-1.0
456828683,456828551,0.018067507,0.04894068,0.06399259,0.53017133,0.0,0.0,0.0,-1.0
456931850,456931710,0.073151454,0.07721276,0.05561497,0.53374106,0.0,0.0,0.0,-1.0
457033727,457033596,0.02625963,0.082336456,0.054366566,0.5393303,0.0,0.0,0.0,-1.0
457136687,457136551,0.013256224,0.10000336,0.056858156,0.5527404,0.0,0.0,0.0,-1.0
457238682,457238550,0.020158775,0.10310051,0.06022507,0.56254435,0.0,0.0,0.0,-1.0
457341703,457341571,0.034231074,0.11228624,0.07221119,0.563465,0.0,0.0,0.0,-1.0
457442692,457442561,-0.013650959,0.1041917,0.079036325,0.5511094,0.0,0.0,0.0,-1.0
457545690,457545551,0.025473367,0.116240665,0.07239481,0.5399105,0.0,0.0,0.0,-1.0
457648691,457648560,-0.01050482,0.09393513,0.07499203,0.5293752,0.0,0.0,0.0,-1.0
457750694,457750558,-0.01738344,0.0977436,0.05959169,0.5210357,0.0,0.0,0.0,-1.0
