timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
77906774,-0.12545049,0.02045169,-0.2036316,2.2439981e-23,0.9928781,-0.061318945,0.016523585,-0.10079713,0.0,0.0,-0.5381104,0,0,0,0,0
78008054,-0.124933645,0.020522818,-0.20363161,7.4712685e-24,0.99289376,-0.06105872,0.016532842,-0.100799136,0.0,0.0,-0.5426368,0,0,0,0,0
78107510,-0.12354687,0.025023518,-0.20363161,2.5255358e-24,0.9929245,-0.060140405,0.018697066,-0.10066979,0.0,0.0,-0.5451764,0,0,0,0,0
78228342,-0.1280251,0.01579941,-0.2036316,6.764147e-25,0.99280417,-0.06283431,0.014344207,-0.10092594,0.0,0.0,-0.54374415,0,0,0,0,0
78326073,-0.13220969,0.016100053,-0.20363158,2.3331725e-25,0.9926703,-0.06489608,0.014704546,-0.10088568,0.0,0.0,-0.5410246,0,0,0,0,0
78419649,-0.13424113,0.009005658,-0.20363158,8.371168e-26,0.9926018,-0.06626553,0.011286351,-0.10110964,0.0,0.0,-0.53923345,0,0,0,0,0
78515192,-0.13461219,0.010465857,-0.2036316,2.944396e-26,0.99259096,-0.066375405,0.01202975,-0.10105833,0.0,0.0,-0.535296,0,0,0,0,0
78613460,-0.13274404,0.008799113,-0.22200434,1.00889655e-26,0.99168,-0.0654282,0.011709689,-0.1102394,0.0,0.0,-0.5402202,0,0,0,0,0
78715276,-0.12305832,0.0012820448,-0.22200434,3.3447745e-27,0.99196905,-0.06104102,0.007447424,-0.11052553,0.0,0.0,-0.5372001,0,0,0,0,0
78837787,-0.1313484,-0.008327092,-0.22200434,8.816337e-28,0.99166423,-0.065682754,0.0031407368,-0.110806145,0.0,0.0,-0.5297063,0,0,0,0,0
78940011,-0.14033726,-0.01398197,-0.22200434,2.911151e-28,0.9913214,-0.07045038,0.00083551236,-0.1109862,0.0,0.0,-0.49588087,0,0,0,0,0
79041894,-0.13492979,-0.017838022,-0.22200437,9.6431096e-29,0.9914786,-0.067981906,-0.0013764212,-0.11111552,0.0,0.0,-0.49546862,0,0,0,0,0
79125394,-0.13691178,-0.024539217,-0.22200434,3.9422612e-29,0.9913502,-0.06933227,-0.0045885653,-0.11134067,0.0,0.0,-0.49533895,0,0,0,0,0
79228632,-0.1370866,-0.030806335,-0.22200437,1.2891373e-29,0.9912774,-0.06976226,-0.007685822,-0.11154957,0.0,0.0,-0.44536793,0,0,0,0,0
79329807,-0.16625862,-0.04084095,-0.22200434,4.299973e-30,0.9900193,-0.08475947,-0.011027234,-0.11205385,0.0,0.0,-0.39268216,0,0,0,0,0
79429260,-0.12614293,-0.044677056,-0.22200434,1.4578564e-30,0.99146605,-0.06509553,-0.015174733,-0.11192572,0.0,0.0,-0.39945254,0,0,0,0,0
79530013,-0.060819138,-0.069378205,-0.22200435,4.8835334e-31,0.99267167,-0.0340397,-0.031086707,-0.11170455,0.0,0.0,-0.45096496,0,0,0,0,0
79651198,-0.012749626,-0.11180295,-0.22200435,1.3007133e-31,0.9922335,-0.01251474,-0.054822315,-0.11095306,0.0,0.0,-0.48391876,0,0,0,0,0
79729440,-0.022011405,-0.1431439,-0.22200434,5.58586e-32,0.99115396,-0.018830838,-0.06985045,-0.11126622,0.0,0.0,-0.49578467,0,0,0,0,0
79837298,-0.042864423,-0.1700141,-0.22200435,1.7497197e-32,0.98982793,-0.03062487,-0.081997395,-0.112157375,0.0,0.0,-0.5323486,0,0,0,0,0
79933490,-0.056235023,-0.1588833,-0.22200434,6.1236133e-33,0.99007237,-0.03664004,-0.07573409,-0.11259867,0.0,0.0,-0.57923657,0,0,0,0,0
80061016,-0.06713178,-0.11167729,-0.22200432,1.5364515e-33,0.9915302,-0.039479848,-0.051723167,-0.11240083,0.0,0.0,-0.6288378,0,0,0,0,0
80162881,-0.06821687,-0.09917149,-0.22200435,5.0898726e-34,0.99185944,-0.039337672,-0.045458768,-0.11225372,0.0,0.0,-0.6034023,0,0,0,0,0
80260847,-0.08678444,-0.110593185,-0.22200432,1.751679e-34,0.9911269,-0.049162295,-0.05007867,-0.11288364,0.0,0.0,-0.5442344,0,0,0,0,0
80356017,-0.08897644,-0.14341404,-0.28911564,-0.02969071,0.98559105,-0.05420726,-0.06443798,-0.14669561,0.0,0.0,-0.49791834,0,0,0,0,0
80450991,-0.10261439,-0.1460567,-0.29615164,-0.20271967,0.98457044,-0.061338793,-0.064523906,-0.1506494,0.0,0.0,-0.48237687,0,0,0,0,0
80562186,-0.11590519,-0.15027115,-0.317568,-0.39949834,0.98229396,-0.068879336,-0.06486381,-0.16169989,0.0,0.0,-0.48011884,0,0,0,0,0
80664014,-0.122091934,-0.18887319,-0.34735197,-0.4697336,0.9777467,-0.07608696,-0.082209244,-0.17738003,0.0,0.0,-0.44578373,0,0,0,0,0
80759872,-0.11732979,-0.21434774,-0.37738526,-0.5236677,0.97375804,-0.07729028,-0.09395476,-0.19233824,0.0,0.0,-0.45697352,0,0,0,0,0
80859253,-0.111270525,-0.22616498,-0.41591978,-0.55434525,0.969405,-0.07732268,-0.0988321,-0.21096765,0.0,0.0,-0.49441656,0,0,0,0,0
80963848,-0.10782736,-0.22891036,-0.46007043,-0.59709847,0.96447915,-0.078127146,-0.098828904,-0.23218296,0.0,0.0,-0.5124768,0,0,0,0,0
81083494,-0.10798396,-0.21093796,-0.5178305,-0.59830296,0.95844144,-0.078791246,-0.087876126,-0.2597302,0.0,0.0,-0.53112406,0,0,0,0,0
