timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
74863864,15961736,32.387893700000006,-117.0745242,-0.21449153,-0.63897234,1.3889483,0.0075267805,0.009844232,0.0,-0.051666845,0.0063561043,-0.1896796,-0.35294697,0.091324784,0.04797906,-0.06365676,0.26421797,-0.092713825,-0.07232289,-0.20663589,21.878475,0.12734509,0.364987,0.24437758,0.16777425,0.103948,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
74960722,15961736,32.387893700000006,-117.0745242,-0.21680377,-0.6430927,1.3554713,0.0075267805,0.009844232,0.0,-0.054349728,0.01143973,-0.1995629,-0.36053208,0.091324784,0.04797906,-0.06365676,-0.1536678,-0.177858,0.11733978,-0.20684251,21.878475,0.1160841,0.37651798,0.24443087,0.17242073,0.10431364,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
75068742,15961736,32.387893700000006,-117.0745242,-0.21774513,-0.6471384,1.3132511,0.0075267805,0.009844232,0.0,-0.047404204,0.015503823,-0.20768847,-0.3688669,0.091324784,0.04797906,-0.06365676,-0.26511657,-0.24979748,-0.55142254,-0.20691629,21.878475,0.12814641,0.3657391,0.24475293,0.16826205,0.10407091,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
75175713,15961736,32.387893700000006,-117.0745242,-0.21792787,-0.6495535,1.2671275,0.0075267805,0.009844232,0.0,-0.04205236,0.02009789,-0.21593064,-0.38245517,0.091324784,0.04797906,-0.06365676,0.33054486,0.31855834,-0.22999108,-0.20701815,21.878475,0.10625553,0.37886146,0.24576467,0.17305562,0.10465787,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
75272745,15961736,32.387893700000006,-117.0745242,-0.21754092,-0.65078604,1.2252951,0.0075267805,0.009844232,0.0,-0.039520577,0.024771966,-0.22644743,-0.3951754,0.091324784,0.04797906,-0.06365676,-0.18394606,-0.4975721,-0.089235924,-0.20688988,21.878475,0.10507047,0.36548695,0.24440831,0.16780612,0.10401789,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
75375814,15961736,32.387893700000006,-117.0745242,-0.2176763,-0.6520533,1.1809623,0.0075267805,0.009844232,0.0,-0.0417471,0.015805917,-0.23293182,-0.40375024,0.091324784,0.04797906,-0.06365676,0.084517345,-0.8543109,0.058096863,-0.2068339,21.878475,0.122813225,0.3788012,0.24556366,0.17285216,0.104624264,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
75477852,15961736,32.387893700000006,-117.0745242,-0.21835846,-0.65459657,1.1324437,0.0075267805,0.009844232,0.0,-0.04084148,0.01469693,-0.23404936,-0.41052225,0.091324784,0.04797906,-0.06365676,-0.12091499,-1.346183,-1.5305319,-0.20700628,21.878475,0.17022383,0.36662287,0.24494655,0.16798307,0.10418298,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
75575084,15961736,32.387893700000006,-117.0745242,-0.21957906,-0.6563214,1.0778782,0.0075267805,0.009844232,0.0,-0.04134578,0.0118528,-0.25097933,-0.43963423,0.091324784,0.04797906,-0.06365676,-0.6783674,-0.22744001,0.19364104,-0.20703182,21.878475,0.22478926,0.37883246,0.245394,0.17247005,0.10459904,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
75682714,15961736,32.387893700000006,-117.0745242,-0.22290485,-0.6623471,1.0201278,0.0075267805,0.009844232,0.0,-0.036202174,0.013222807,-0.26428166,-0.46037972,0.091324784,0.04797906,-0.06365676,-0.45393312,0.2574095,0.2463389,-0.20700371,21.878475,0.28253973,0.36646894,0.24476962,0.1678519,0.10414023,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
75785803,15961736,32.387893700000006,-117.0745242,-0.22810113,-0.67004925,0.9771059,0.0075267805,0.009844232,0.0,-0.048390884,0.013444814,-0.27632946,-0.46399745,0.091324784,0.04797906,-0.06365676,0.44952387,0.34925354,-0.83567345,-0.20718807,21.878475,0.32556158,0.37970483,0.24586338,0.17298917,0.10473822,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
